item_number,days_in_warehouse,shipment_frequency,category,total_quantity_received,frequency_received,total_quantity_shipped,frequency_shipped,priority_cluster
P85287,2.9811701412239406,1487,Fast Mover,12030,1496,9058,1552,Top Priority Item
P85286,2.8652234636871508,1432,Fast Mover,11565,1449,8633,1538,Top Priority Item
P85289,3.805023923444976,836,Fast Mover,6629,849,5493,917,Top Priority Item
P85290,2.873862158647594,769,Fast Mover,5958,769,4555,809,Top Priority Item
115127,9.606227106227106,546,Medium Mover,1094,546,1109,583,Low Priority Item
P64150,17.407265774378587,523,Medium Mover,70000,523,46900,475,Low Priority Item
P85288,4.950592885375494,506,Fast Mover,3813,507,2976,510,Top Priority Item
V50833,10.426262626262627,495,Medium Mover,4872,496,5457,581,Low Priority Item
P85285,7.377155172413793,464,Medium Mover,3732,471,2556,437,Low Priority Item
P85298,6.909706546275395,443,Fast Mover,3444,450,2766,480,Top Priority Item
P85291,4.391100702576113,427,Fast Mover,3282,438,2400,467,Top Priority Item
V50835,16.16915422885572,402,Medium Mover,2879,402,3223,508,Low Priority Item
V50836,15.419023136246787,389,Medium Mover,1596,389,1740,427,Low Priority Item
115123,20.495726495726494,351,Medium Mover,3486,351,4139,515,Low Priority Item
V51967,15.082857142857144,350,Medium Mover,2667,356,2970,415,Low Priority Item
110192LF,13.700617283950617,324,Medium Mover,152064,325,158154,372,Low Priority Item
115111,29.5141065830721,319,Medium Mover,3200,319,3484,415,Low Priority Item
115128,27.893548387096775,310,Medium Mover,640,311,670,359,Low Priority Item
P2001155,8.892976588628763,299,Medium Mover,770,303,530,289,Low Priority Item
DP3598,27.697841726618705,278,Medium Mover,28694,279,14451,197,Low Priority Item
115104,41.64492753623188,276,Slow Mover,4966,277,4902,381,Low Priority Item
DM0005,6.291512915129151,271,Fast Mover,15032,275,13851,357,Top Priority Item
104450LF,11.972222222222221,252,Medium Mover,2041,263,2185,470,Low Priority Item
V50837,11.204255319148936,235,Medium Mover,325,235,400,271,Low Priority Item
SM2267,7.6752136752136755,234,Medium Mover,234,234,248,247,Low Priority Item
P2000842,7.9298245614035086,228,Medium Mover,5302,233,4624,337,Low Priority Item
P81290,20.309734513274336,226,Medium Mover,20480,226,14640,196,Low Priority Item
P2004411,9.10762331838565,223,Medium Mover,3754,224,3363,443,Low Priority Item
P2001127,14.30316742081448,221,Medium Mover,11099,222,8670,245,Low Priority Item
104309,11.0,216,Medium Mover,1422,226,1644,391,Low Priority Item
P2001125,21.199074074074073,216,Medium Mover,20147,217,11161,182,Low Priority Item
P43972,9.15962441314554,213,Medium Mover,1045,216,789,256,Low Priority Item
52-128-321-501,13.089201877934272,213,Medium Mover,541,215,339,211,Low Priority Item
52-116-922-501,17.14622641509434,212,Medium Mover,576,216,358,236,Low Priority Item
V51973,43.08018867924528,212,Slow Mover,266,217,229,170,Low Priority Item
104301,10.421800947867299,211,Medium Mover,1896,228,2145,386,Low Priority Item
115126,20.047846889952154,209,Medium Mover,1666,209,1879,304,Low Priority Item
P2002406,29.83653846153846,208,Medium Mover,2385,211,1589,297,Low Priority Item
P5004634,9.317073170731707,205,Medium Mover,886,208,814,317,Low Priority Item
V51961,9.424390243902439,205,Medium Mover,3150,205,4170,280,Low Priority Item
52-116-924-501,21.181372549019606,204,Medium Mover,487,204,421,232,Low Priority Item
104451LF,14.280788177339902,203,Medium Mover,2145,215,2214,335,Low Priority Item
P2002404,15.925373134328359,201,Medium Mover,2082,204,1602,346,Low Priority Item
P58492,9.545,200,Medium Mover,43398,203,42750,207,Low Priority Item
P2002400,14.606217616580311,193,Medium Mover,3220,194,2329,252,Low Priority Item
P51561,150.2408376963351,191,Slow Mover,6256,193,2077,95,Low Priority Item
G96819,12.663157894736843,190,Medium Mover,13372,190,11225,198,Low Priority Item
P2004419,8.412698412698413,189,Medium Mover,1655,189,1507,341,Low Priority Item
104456LF,8.319148936170214,188,Medium Mover,1609,199,1647,385,Low Priority Item
P2004423,5.15819209039548,177,Fast Mover,1590,196,1556,342,Top Priority Item
P2004563,14.333333333333334,177,Medium Mover,897,193,805,282,Low Priority Item
P61449,31.818181818181817,176,Slow Mover,13295,176,7982,177,Low Priority Item
P2004413,29.514285714285716,175,Medium Mover,1874,187,1627,287,Low Priority Item
P2004421,8.148809523809524,168,Medium Mover,1646,169,1480,327,Low Priority Item
115119,33.75,168,Slow Mover,3028,170,2715,261,Low Priority Item
M28099,15.536144578313253,166,Medium Mover,121416,169,77424,232,Low Priority Item
185115,5.648484848484848,165,Fast Mover,212,165,228,187,Top Priority Item
104308,16.335365853658537,164,Medium Mover,1065,185,1233,309,Low Priority Item
P44081,8.28834355828221,163,Medium Mover,1117,169,808,272,Low Priority Item
115188,11.950310559006212,161,Medium Mover,340,167,337,185,Low Priority Item
V51970,22.80745341614907,161,Medium Mover,644,161,576,148,Low Priority Item
P70962,13.15,160,Medium Mover,84000,171,60060,150,Low Priority Item
115125,29.78616352201258,159,Medium Mover,1274,160,1447,249,Low Priority Item
185116,5.9411764705882355,153,Fast Mover,196,153,219,188,Top Priority Item
P77119,12.298013245033113,151,Medium Mover,100627,151,59592,181,Low Priority Item
SM0744,24.344370860927153,151,Medium Mover,358,184,376,236,Low Priority Item
P42542,30.781456953642383,151,Slow Mover,5319,153,3924,258,Low Priority Item
P85243,5.953333333333333,150,Fast Mover,9364,151,8035,261,Top Priority Item
DR0614,9.97972972972973,148,Medium Mover,1466,163,1072,140,Low Priority Item
SM0745,6.791666666666667,144,Fast Mover,311,159,340,217,Top Priority Item
115187,49.3125,144,Slow Mover,288,144,358,188,Low Priority Item
104306,16.659574468085108,141,Medium Mover,1468,156,1626,281,Low Priority Item
115121,22.25531914893617,141,Medium Mover,2424,141,2441,216,Low Priority Item
P90523,13.956521739130435,138,Medium Mover,14217,139,8577,179,Low Priority Item
SM2269,13.496350364963504,137,Medium Mover,137,137,146,146,Low Priority Item
104310,18.824817518248175,137,Medium Mover,742,148,832,219,Low Priority Item
G96817,9.036764705882353,136,Medium Mover,9956,137,9092,163,Low Priority Item
SM0742,7.2,135,Medium Mover,479,193,522,270,Low Priority Item
115122,66.74436090225564,133,Slow Mover,1332,133,1175,136,Low Priority Item
104318,8.923664122137405,131,Medium Mover,750,140,863,234,Low Priority Item
52-116-920-501,11.450381679389313,131,Medium Mover,382,131,279,171,Low Priority Item
115118,34.76335877862596,131,Slow Mover,2306,131,2129,141,Low Priority Item
52-118-401-501,13.7109375,128,Medium Mover,324,132,179,122,Low Priority Item
903580,23.086614173228348,127,Medium Mover,5436,130,4524,182,Low Priority Item
115129,25.173228346456693,127,Medium Mover,272,136,302,167,Low Priority Item
903582,7.723577235772358,123,Medium Mover,4640,128,4189,181,Low Priority Item
P2004417,6.352459016393443,122,Fast Mover,1891,123,1662,252,Top Priority Item
104315,17.628099173553718,121,Medium Mover,898,124,808,192,Low Priority Item
P2004620,9.175,120,Medium Mover,105792,125,105755,188,Low Priority Item
52-460-769-011,9.100840336134453,119,Medium Mover,122,122,110,110,Low Priority Item
P90527,19.594827586206897,116,Medium Mover,6584,116,6763,290,Low Priority Item
185111,8.725663716814159,113,Medium Mover,240,117,279,161,Low Priority Item
104321,13.63716814159292,113,Medium Mover,533,128,585,256,Low Priority Item
P85248,6.526785714285714,112,Fast Mover,6752,112,6114,210,Top Priority Item
P5004632,13.741071428571429,112,Medium Mover,496,113,374,184,Low Priority Item
115120,29.946428571428573,112,Medium Mover,2016,112,1885,147,Low Priority Item
P2004561,35.481818181818184,110,Slow Mover,937,110,853,127,Low Priority Item
P2001630,13.853211009174313,109,Medium Mover,641,113,487,146,Low Priority Item
230080,57.04587155963303,109,Slow Mover,4723,120,3951,143,Low Priority Item
115189,23.314814814814813,108,Medium Mover,222,111,236,138,Low Priority Item
P6011019,14.981308411214954,107,Medium Mover,147,112,79,75,Medium Priority Item
P79025,10.084905660377359,106,Medium Mover,11366,106,10585,183,Low Priority Item
SM2309,22.552380952380954,105,Medium Mover,225,107,183,99,Low Priority Item
V51964,34.10576923076923,104,Slow Mover,832,104,1056,141,Low Priority Item
104312,14.446601941747574,103,Medium Mover,658,111,561,150,Low Priority Item
P77179,14.843137254901961,102,Medium Mover,39977,102,25717,162,Low Priority Item
P2002398,21.38235294117647,102,Medium Mover,1276,102,1188,206,Low Priority Item
P08420,22.613861386138613,101,Medium Mover,4355,101,3598,101,Low Priority Item
52-129-440-501,22.97029702970297,101,Medium Mover,251,103,154,99,Low Priority Item
52-116-917-523,11.151515151515152,99,Medium Mover,259,102,176,107,Low Priority Item
P2002412,15.787878787878787,99,Medium Mover,670,100,593,134,Low Priority Item
P5004640,26.828282828282827,99,Medium Mover,258,102,207,114,Low Priority Item
P2004415,9.216494845360824,97,Medium Mover,1120,102,1208,222,Low Priority Item
SM0748,11.762886597938145,97,Medium Mover,217,106,218,139,Low Priority Item
P6011015,17.195876288659793,97,Medium Mover,137,97,97,81,Medium Priority Item
P81334,28.354166666666668,96,Medium Mover,4140,101,3528,106,Low Priority Item
SM0754,9.147368421052631,95,Medium Mover,229,104,244,144,Low Priority Item
P2002394,13.757894736842106,95,Medium Mover,1450,96,1571,211,Low Priority Item
903576,41.95789473684211,95,Slow Mover,3336,97,2493,106,Low Priority Item
P2000872,14.236559139784946,93,Medium Mover,1577,93,1271,134,Low Priority Item
117415LF,42.48913043478261,92,Slow Mover,75072,92,56302,136,Low Priority Item
DT0420,52.80434782608695,92,Slow Mover,175,92,121,69,Low Priority Item
SM0756,9.197802197802197,91,Medium Mover,207,105,218,144,Low Priority Item
V1000292,14.68131868131868,91,Medium Mover,15182,95,7029,91,Low Priority Item
DE0951,16.043956043956044,91,Medium Mover,1801,93,1392,79,Low Priority Item
P85254,7.766666666666667,90,Medium Mover,2424,90,2207,131,Low Priority Item
185112,6.078651685393258,89,Fast Mover,234,101,252,129,Top Priority Item
SM0743,10.415730337078651,89,Medium Mover,272,110,315,170,Low Priority Item
SM0746,12.191011235955056,89,Medium Mover,174,96,214,136,Low Priority Item
903585,9.329545454545455,88,Medium Mover,2838,94,2657,130,Low Priority Item
P2004565,12.816091954022989,87,Medium Mover,531,87,462,143,Low Priority Item
P70965,21.20689655172414,87,Medium Mover,39984,98,26035,64,Low Priority Item
P2000848,12.430232558139535,86,Medium Mover,2940,89,1815,174,Low Priority Item
V1000296,13.744186046511627,86,Medium Mover,10173,91,6192,145,Low Priority Item
115182,20.302325581395348,86,Medium Mover,828,86,962,168,Low Priority Item
DR0612,23.63953488372093,86,Medium Mover,1076,87,1105,147,Low Priority Item
P70877,11.435294117647059,85,Medium Mover,81480,86,59604,97,Low Priority Item
V1000294,20.976470588235294,85,Medium Mover,9767,87,5920,122,Low Priority Item
104328,24.2,85,Medium Mover,360,90,424,125,Low Priority Item
903578,32.785714285714285,84,Slow Mover,2318,85,1495,104,Low Priority Item
104326,6.855421686746988,83,Fast Mover,364,90,402,192,Top Priority Item
V50838,28.542168674698797,83,Medium Mover,83,83,108,108,Low Priority Item
185114,5.402439024390244,82,Fast Mover,188,86,204,120,Top Priority Item
P2001745,7.271604938271605,81,Medium Mover,3766,81,4843,273,Low Priority Item
P2002390,17.814814814814813,81,Medium Mover,1750,81,1844,193,Low Priority Item
SM2272,21.296296296296298,81,Medium Mover,87,87,99,99,Medium Priority Item
P77139,25.97530864197531,81,Medium Mover,48310,81,23836,82,Low Priority Item
P78927,6.025,80,Fast Mover,23988,80,27176,223,Top Priority Item
110196LF,8.4125,80,Medium Mover,32928,80,38241,115,Low Priority Item
104459LF,9.6,80,Medium Mover,421,88,515,133,Low Priority Item
P85239,12.825,80,Medium Mover,7559,82,6836,117,Low Priority Item
V1000298,43.375,80,Slow Mover,4914,82,2836,134,Low Priority Item
SM2117,6.443037974683544,79,Fast Mover,186,87,242,149,Top Priority Item
P2000828,9.050632911392405,79,Medium Mover,3916,79,3284,187,Low Priority Item
P2004634,9.49367088607595,79,Medium Mover,12190,85,12918,117,Low Priority Item
903584,10.924050632911392,79,Medium Mover,1758,84,1370,98,Low Priority Item
115184,14.683544303797468,79,Medium Mover,790,79,961,157,Low Priority Item
903583,18.21518987341772,79,Medium Mover,3129,82,2820,124,Low Priority Item
115124,22.518987341772153,79,Medium Mover,758,79,750,114,Low Priority Item
111034,23.602564102564102,78,Medium Mover,5820,78,5107,183,Low Priority Item
P5004635,11.584415584415584,77,Medium Mover,314,78,323,149,Low Priority Item
P58496,12.078947368421053,76,Medium Mover,46372,78,46224,108,Low Priority Item
P2004429,28.11842105263158,76,Medium Mover,484,80,352,130,Low Priority Item
P2002484,28.526315789473685,76,Medium Mover,120,78,129,95,Low Priority Item
V51760,7.72,75,Medium Mover,4692,76,4903,147,Low Priority Item
P2001625,16.706666666666667,75,Medium Mover,1377,77,1016,183,Low Priority Item
P6011033,29.72,75,Medium Mover,172,76,116,73,Low Priority Item
P85245,10.58108108108108,74,Medium Mover,2594,74,2386,118,Low Priority Item
104323,21.635135135135137,74,Medium Mover,260,78,244,120,Low Priority Item
111040,23.64864864864865,74,Medium Mover,3366,85,2335,145,Low Priority Item
239600,25.66216216216216,74,Medium Mover,5968,74,7080,93,Low Priority Item
SM0740,10.917808219178083,73,Medium Mover,160,80,159,108,Low Priority Item
SM2253,11.383561643835616,73,Medium Mover,179,81,212,123,Low Priority Item
SM0749,11.575342465753424,73,Medium Mover,105,76,103,83,Low Priority Item
SM2256,11.753424657534246,73,Medium Mover,152,75,168,111,Low Priority Item
V50834,24.63013698630137,73,Medium Mover,560,74,686,97,Low Priority Item
P81289,29.84931506849315,73,Medium Mover,5372,73,4348,71,Low Priority Item
104303,31.19178082191781,73,Slow Mover,602,75,563,130,Low Priority Item
P41780,5.291666666666667,72,Fast Mover,2438,77,1503,132,Top Priority Item
V50832,26.944444444444443,72,Medium Mover,1670,72,2221,106,Low Priority Item
M28177,31.13888888888889,72,Slow Mover,37920,76,21072,69,Low Priority Item
179359,9.19718309859155,71,Medium Mover,148,78,143,104,Low Priority Item
P85237,9.253521126760564,71,Medium Mover,3456,72,2828,89,Low Priority Item
SM2250,9.9,70,Medium Mover,191,76,220,119,Low Priority Item
F74000,19.042857142857144,70,Medium Mover,15996,88,16804,110,Low Priority Item
DT0421,64.94285714285714,70,Slow Mover,80,80,60,60,Low Priority Item
P2004626,9.927536231884059,69,Medium Mover,18697,75,18419,104,Low Priority Item
P85166,10.695652173913043,69,Medium Mover,1896,69,1704,111,Low Priority Item
903581,17.318840579710145,69,Medium Mover,1789,69,1421,82,Low Priority Item
903574,18.89855072463768,69,Medium Mover,1575,70,1433,89,Low Priority Item
104300,21.666666666666668,69,Medium Mover,651,77,693,133,Low Priority Item
241160,39.492753623188406,69,Slow Mover,3721,79,3667,96,Low Priority Item
117413LF,95.27536231884058,69,Slow Mover,58991,73,44064,93,Low Priority Item
P85246,9.382352941176471,68,Medium Mover,3134,68,2556,124,Low Priority Item
185110,6.8059701492537314,67,Fast Mover,257,71,293,132,Top Priority Item
P2001007,6.850746268656716,67,Fast Mover,2214,67,2160,150,Top Priority Item
P2004624,7.298507462686567,67,Medium Mover,13468,71,12544,75,Low Priority Item
SM0741,13.492537313432836,67,Medium Mover,225,88,236,132,Low Priority Item
175014,13.776119402985074,67,Medium Mover,213,70,251,119,Low Priority Item
115186,17.880597014925375,67,Medium Mover,536,67,611,133,Low Priority Item
AC1863,8.242424242424242,66,Medium Mover,292,68,237,128,Low Priority Item
SM0747,13.287878787878787,66,Medium Mover,120,68,122,93,Low Priority Item
SM2225,13.666666666666666,66,Medium Mover,70,70,72,72,Medium Priority Item
DR0218,33.015151515151516,66,Slow Mover,245,67,136,48,Low Priority Item
SM0759,11.784615384615385,65,Medium Mover,128,72,135,93,Low Priority Item
P6013456,47.13846153846154,65,Slow Mover,124,71,96,66,Low Priority Item
P43672,10.984375,64,Medium Mover,612,72,449,116,Low Priority Item
52-116-923-501,18.078125,64,Medium Mover,110,66,57,48,Medium Priority Item
P2000856,31.953125,64,Slow Mover,2050,64,1217,137,Low Priority Item
115185,45.453125,64,Slow Mover,308,66,348,92,Low Priority Item
F14200,10.793650793650794,63,Medium Mover,54000,63,55800,86,Low Priority Item
P82329,12.206349206349206,63,Medium Mover,1918,64,1622,81,Low Priority Item
DR0610,14.444444444444445,63,Medium Mover,754,64,492,62,Low Priority Item
P03429,21.746031746031747,63,Medium Mover,21360,76,18996,90,Low Priority Item
V51761,11.516129032258064,62,Medium Mover,3500,66,3285,115,Low Priority Item
P2004622,11.580645161290322,62,Medium Mover,23036,67,26172,100,Low Priority Item
104476LF,13.82258064516129,62,Medium Mover,166,65,152,90,Low Priority Item
P2002422,18.258064516129032,62,Medium Mover,204,64,154,76,Low Priority Item
P77109,10.01639344262295,61,Medium Mover,90480,64,56800,114,Low Priority Item
P2004632,15.59016393442623,61,Medium Mover,14155,68,12480,82,Low Priority Item
111061,19.868852459016395,61,Medium Mover,4320,61,2994,99,Low Priority Item
P2002402,21.114754098360656,61,Medium Mover,503,61,357,107,Low Priority Item
52-460-761-501,21.770491803278688,61,Medium Mover,147,69,94,70,Medium Priority Item
SM2227,24.065573770491802,61,Medium Mover,62,61,67,67,Medium Priority Item
510824,78.8360655737705,61,Slow Mover,9633,61,5753,48,Low Priority Item
SM2118,7.1,60,Medium Mover,189,67,232,122,Low Priority Item
185119,7.616666666666666,60,Medium Mover,73,66,82,72,Medium Priority Item
104465LF,11.716666666666667,60,Medium Mover,238,62,273,129,Low Priority Item
SM2717,15.716666666666667,60,Medium Mover,265,61,230,88,Low Priority Item
P2002392,33.65,60,Slow Mover,836,61,1048,171,Low Priority Item
DT0796,56.4,60,Slow Mover,98,60,59,40,Low Priority Item
185108,4.135593220338983,59,Fast Mover,287,60,336,121,Top Priority Item
P2000850,6.47457627118644,59,Fast Mover,4547,59,3493,185,Top Priority Item
SM0757,8.932203389830509,59,Medium Mover,117,61,134,89,Low Priority Item
SM2262,11.440677966101696,59,Medium Mover,137,64,160,100,Low Priority Item
P2001605,13.372881355932204,59,Medium Mover,876,60,574,128,Low Priority Item
P5001387,18.1864406779661,59,Medium Mover,133,67,144,95,Low Priority Item
P00352,20.35593220338983,59,Medium Mover,18629,72,6296,28,Low Priority Item
179361,8.655172413793103,58,Medium Mover,131,65,143,96,Low Priority Item
P85238,12.172413793103448,58,Medium Mover,2976,59,2491,86,Low Priority Item
SM0755,18.93103448275862,58,Medium Mover,125,63,131,82,Low Priority Item
M28101,19.155172413793103,58,Medium Mover,108138,59,57834,79,Low Priority Item
V51767,6.807017543859649,57,Fast Mover,2292,64,1932,85,Top Priority Item
104460LF,17.719298245614034,57,Medium Mover,216,60,272,118,Low Priority Item
SM0762,17.912280701754387,57,Medium Mover,69,57,65,59,Medium Priority Item
P2000852,7.892857142857143,56,Medium Mover,2086,59,1476,156,Low Priority Item
110193LF,18.267857142857142,56,Medium Mover,22920,60,23504,76,Low Priority Item
52-116-918-501,20.589285714285715,56,Medium Mover,361,58,234,131,Low Priority Item
103400,35.57142857142857,56,Slow Mover,7120,56,3620,37,Low Priority Item
103417,71.25,56,Slow Mover,8352,56,1296,9,Low Priority Item
103251,71.26785714285714,56,Slow Mover,8064,56,288,2,Low Priority Item
V51976,7.581818181818182,55,Medium Mover,55,55,103,93,Low Priority Item
185109,8.763636363636364,55,Medium Mover,195,55,224,97,Low Priority Item
P6010443,11.454545454545455,55,Medium Mover,155,58,184,91,Low Priority Item
P2001623,12.018181818181818,55,Medium Mover,1351,59,816,80,Low Priority Item
181891,12.581818181818182,55,Medium Mover,141,60,152,74,Low Priority Item
P2000832,13.327272727272728,55,Medium Mover,532,55,508,141,Low Priority Item
52-460-769-013,15.454545454545455,55,Medium Mover,55,55,67,67,Medium Priority Item
111031,16.181818181818183,55,Medium Mover,3840,58,3279,100,Low Priority Item
P70960,18.581818181818182,55,Medium Mover,28560,60,19320,46,Low Priority Item
P2001621,38.07272727272727,55,Slow Mover,1233,55,838,56,Low Priority Item
P5001299,43.527272727272724,55,Slow Mover,135,73,106,67,Low Priority Item
117105LF,44.763636363636365,55,Slow Mover,9880,55,8639,61,Low Priority Item
P5001539,56.54545454545455,55,Slow Mover,96,77,84,67,Low Priority Item
P6011568,8.851851851851851,54,Medium Mover,297,65,233,65,Low Priority Item
P5004636,14.481481481481481,54,Medium Mover,222,54,209,101,Low Priority Item
178671,6.886792452830188,53,Fast Mover,300,57,306,126,Top Priority Item
SM2265,16.660377358490567,53,Medium Mover,103,55,107,76,Low Priority Item
SM2244,18.37735849056604,53,Medium Mover,125,57,140,81,Low Priority Item
60A0B3002,21.41509433962264,53,Medium Mover,4452,55,3177,49,Low Priority Item
V1000300,27.62264150943396,53,Medium Mover,539,53,629,72,Low Priority Item
115117,96.22641509433963,53,Slow Mover,954,53,713,52,Low Priority Item
P6012736,15.73076923076923,52,Medium Mover,114,55,99,61,Medium Priority Item
SM2274,19.01923076923077,52,Medium Mover,53,52,56,56,Medium Priority Item
P5001307,42.61538461538461,52,Slow Mover,138,73,117,68,Low Priority Item
P90528,8.92156862745098,51,Medium Mover,5959,52,4144,198,Low Priority Item
182198,12.254901960784315,51,Medium Mover,90,55,95,64,Medium Priority Item
P5001331,15.156862745098039,51,Medium Mover,100,53,111,67,Low Priority Item
V51759,5.96,50,Fast Mover,4662,53,4759,101,Top Priority Item
P2001011,11.04,50,Medium Mover,2307,50,2879,198,Low Priority Item
P82364,11.18,50,Medium Mover,225,54,207,97,Low Priority Item
P2004425,25.26,50,Medium Mover,534,50,463,124,Low Priority Item
V51765,28.92,50,Medium Mover,2835,54,2898,80,Low Priority Item
SM2251,12.877551020408163,49,Medium Mover,94,52,102,75,Low Priority Item
110197LF,13.387755102040817,49,Medium Mover,8136,50,7740,64,Low Priority Item
P81488,15.061224489795919,49,Medium Mover,10660,50,9809,94,Low Priority Item
P53046,25.224489795918366,49,Medium Mover,3187,50,1970,67,Low Priority Item
104302,26.73469387755102,49,Medium Mover,240,52,202,67,Low Priority Item
V50815,43.857142857142854,49,Slow Mover,373,49,457,85,Low Priority Item
P5001319,59.30612244897959,49,Slow Mover,127,61,81,61,Low Priority Item
P85250,13.6875,48,Medium Mover,1486,49,1158,65,Low Priority Item
FM0024,14.291666666666666,48,Medium Mover,52,50,49,49,Low Priority Item
P2000676,16.75,48,Medium Mover,172,48,149,79,Low Priority Item
115179,18.520833333333332,48,Medium Mover,864,48,1050,134,Low Priority Item
P5004639,22.583333333333332,48,Medium Mover,123,52,106,59,Low Priority Item
P2000866,23.5625,48,Medium Mover,682,52,728,165,Low Priority Item
P2001601,24.770833333333332,48,Medium Mover,630,53,330,74,Low Priority Item
111042,35.104166666666664,48,Slow Mover,1980,48,1343,121,Low Priority Item
V50813,37.416666666666664,48,Slow Mover,576,48,730,66,Low Priority Item
175080,8.127659574468085,47,Medium Mover,308,47,304,122,Low Priority Item
SM2211,10.76595744680851,47,Medium Mover,95,50,109,75,Low Priority Item
DT0772,12.191489361702128,47,Medium Mover,1080,58,681,111,Low Priority Item
104471LF,14.319148936170214,47,Medium Mover,244,55,235,96,Low Priority Item
SM2271,23.617021276595743,47,Medium Mover,47,47,52,52,Medium Priority Item
111047,31.29787234042553,47,Slow Mover,1917,47,1257,94,Low Priority Item
513622,75.55319148936171,47,Slow Mover,534,47,526,89,Low Priority Item
P6011548,172.72340425531914,47,Slow Mover,63,47,28,26,Low Priority Item
AC1860,15.173913043478262,46,Medium Mover,196,48,159,95,Low Priority Item
P5003625,19.41304347826087,46,Medium Mover,394,48,304,46,Low Priority Item
P77177,27.108695652173914,46,Medium Mover,27416,46,16965,64,Low Priority Item
104313,39.69565217391305,46,Slow Mover,154,46,141,70,Low Priority Item
P2002414,47.69565217391305,46,Slow Mover,478,48,346,90,Low Priority Item
P00432,82.97826086956522,46,Slow Mover,3710,46,2257,31,Low Priority Item
52-116-926-501,146.95652173913044,46,Slow Mover,93,46,79,52,Low Priority Item
DM2045,10.622222222222222,45,Medium Mover,627,47,550,139,Low Priority Item
104458LF,17.77777777777778,45,Medium Mover,83,47,90,57,Medium Priority Item
P85299,22.044444444444444,45,Medium Mover,206,47,169,64,Low Priority Item
P6012744,36.28888888888889,45,Slow Mover,88,47,54,32,Low Priority Item
P2002591,7.068181818181818,44,Medium Mover,1440,45,1296,183,Low Priority Item
P5003554,17.136363636363637,44,Medium Mover,2700,44,2340,44,Low Priority Item
P03560,17.613636363636363,44,Medium Mover,4850,47,5570,70,Low Priority Item
P86236,24.477272727272727,44,Medium Mover,77,49,89,67,Medium Priority Item
P6012740,30.477272727272727,44,Slow Mover,90,44,79,47,Low Priority Item
P85255,11.279069767441861,43,Medium Mover,1612,43,1526,76,Low Priority Item
52-123-957-501,297.25581395348837,43,Leftovers,118,43,86,32,Low Priority Item
52-460-769-012,7.0476190476190474,42,Medium Mover,42,42,45,45,Low Priority Item
SM2116,11.404761904761905,42,Medium Mover,95,49,104,66,Low Priority Item
P81487,13.595238095238095,42,Medium Mover,5340,44,4711,77,Low Priority Item
P2002465,13.785714285714286,42,Medium Mover,303,49,274,80,Low Priority Item
SM2208,14.69047619047619,42,Medium Mover,84,45,101,70,Low Priority Item
103252LF,17.857142857142858,42,Medium Mover,7583,42,3934,28,Low Priority Item
V50812,18.642857142857142,42,Medium Mover,840,42,1030,60,Low Priority Item
P2004427,21.428571428571427,42,Medium Mover,508,42,414,118,Low Priority Item
107019,21.928571428571427,42,Medium Mover,3755,42,3256,75,Low Priority Item
52-460-769-019,48.285714285714285,42,Slow Mover,57,46,61,52,Low Priority Item
P5001732,105.73809523809524,42,Slow Mover,75,42,50,32,Low Priority Item
182205,7.7073170731707314,41,Medium Mover,76,46,80,58,Medium Priority Item
P45730,13.707317073170731,41,Medium Mover,3548,43,3006,71,Low Priority Item
P81486,15.487804878048781,41,Medium Mover,18684,41,17526,111,Low Priority Item
SM2202,17.24390243902439,41,Medium Mover,89,46,95,63,Medium Priority Item
175025,20.097560975609756,41,Medium Mover,62,43,69,56,Medium Priority Item
P5003603,10.15,40,Medium Mover,1155,43,915,141,Low Priority Item
P2000880,11.275,40,Medium Mover,639,40,768,144,Low Priority Item
P2001335,11.75,40,Medium Mover,18154,42,12191,73,Low Priority Item
P41620,13.375,40,Medium Mover,922,40,821,92,Low Priority Item
SM0739,14.625,40,Medium Mover,80,43,73,50,Medium Priority Item
V51758,18.075,40,Medium Mover,6777,43,6966,95,Low Priority Item
SM0758,21.0,40,Medium Mover,99,45,107,65,Low Priority Item
52-460-769-212,24.525,40,Medium Mover,40,40,35,35,Low Priority Item
P77115,28.3,40,Medium Mover,116932,40,70094,101,Low Priority Item
60B0B1001,33.05,40,Slow Mover,2899,40,2130,81,Low Priority Item
903575,37.625,40,Slow Mover,947,41,870,54,Low Priority Item
52-116-968-501,59.075,40,Slow Mover,104,43,59,41,Low Priority Item
P6014717,11.0,39,Medium Mover,1709,41,1720,112,Low Priority Item
AC1864,11.102564102564102,39,Medium Mover,148,40,127,74,Low Priority Item
P5003623,11.615384615384615,39,Medium Mover,376,41,298,96,Low Priority Item
AC6113,13.35897435897436,39,Medium Mover,3002,39,2728,100,Low Priority Item
P2000888,13.461538461538462,39,Medium Mover,739,44,1017,173,Low Priority Item
P5004637,13.948717948717949,39,Medium Mover,168,41,146,68,Low Priority Item
P82331,15.461538461538462,39,Medium Mover,1248,39,1056,59,Low Priority Item
SM2222,17.0,39,Medium Mover,76,39,92,62,Medium Priority Item
P6010268,18.435897435897434,39,Medium Mover,1776,39,942,86,Low Priority Item
117106LF,23.076923076923077,39,Medium Mover,3900,39,3602,126,Low Priority Item
238480,23.564102564102566,39,Medium Mover,3870,39,3866,57,Low Priority Item
V50814,23.923076923076923,39,Medium Mover,320,39,368,51,Low Priority Item
P5002636,29.615384615384617,39,Medium Mover,47,39,37,35,Low Priority Item
