item_number,days_in_warehouse,shipment_frequency,category,total_quantity_received,frequency_received,total_quantity_shipped,frequency_shipped,priority_cluster
52-260-537-001,82.33333333333333,3,Slow Mover,276,3,388,35,Low Priority Item
V1003634,83.33333333333333,3,Slow Mover,300,3,100,2,Low Priority Item
247135,84.0,3,Slow Mover,43725,3,20000,2,Low Priority Item
P5001799,84.0,3,Slow Mover,48,4,28,3,Low Priority Item
AC1471,85.33333333333333,3,Slow Mover,8,3,2,1,Low Priority Item
P6011347,86.33333333333333,3,Slow Mover,65,3,91,8,Low Priority Item
P70963,86.33333333333333,3,Slow Mover,1680,4,1260,3,Low Priority Item
183786,88.66666666666667,3,Slow Mover,4,3,4,4,Low Priority Item
V1000917,90.0,3,Slow Mover,94,3,115,15,Low Priority Item
179314,91.0,3,Slow Mover,5,3,3,2,Low Priority Item
P5002004,92.66666666666667,3,Slow Mover,10,4,12,6,Low Priority Item
52-161-304-001,95.33333333333333,3,Slow Mover,6,3,6,4,Low Priority Item
P5001842,95.66666666666667,3,Slow Mover,24,3,16,2,Low Priority Item
SM2230,96.33333333333333,3,Slow Mover,6,4,7,5,Low Priority Item
7C1252220,96.66666666666667,3,Slow Mover,44,3,18,4,Low Priority Item
SM2088,96.66666666666667,3,Slow Mover,96,3,160,5,Low Priority Item
V1000030,96.66666666666667,3,Slow Mover,248,3,224,2,Low Priority Item
52-324-007-098,97.0,3,Slow Mover,8,3,7,6,Low Priority Item
P6010146,97.0,3,Slow Mover,224,3,294,11,Low Priority Item
P6011589,98.0,3,Slow Mover,26,7,5,3,Low Priority Item
Y044009,98.0,3,Slow Mover,3,3,3,3,Low Priority Item
P5001082,99.0,3,Slow Mover,33,3,72,25,Low Priority Item
P50745,99.0,3,Slow Mover,3,3,3,3,Low Priority Item
AC2588,100.33333333333333,3,Slow Mover,12,4,7,5,Low Priority Item
SM2085,100.66666666666667,3,Slow Mover,96,3,128,5,Low Priority Item
AC1444,102.0,3,Slow Mover,63,3,3,1,Low Priority Item
P6015907,102.0,3,Slow Mover,12,4,4,4,Low Priority Item
P6010033,102.33333333333333,3,Slow Mover,500,3,400,13,Low Priority Item
P6015607,102.66666666666667,3,Slow Mover,200,3,84,15,Low Priority Item
183543,104.33333333333333,3,Slow Mover,3,3,2,2,Low Priority Item
P82155,104.33333333333333,3,Slow Mover,5,5,3,3,Low Priority Item
768081040,106.0,3,Slow Mover,920,5,716,17,Low Priority Item
7C1252120,108.33333333333333,3,Slow Mover,100,5,70,7,Low Priority Item
SM2215,108.66666666666667,3,Slow Mover,4,3,3,2,Low Priority Item
YA9729,108.66666666666667,3,Slow Mover,3,3,3,3,Low Priority Item
P6014938,112.0,3,Slow Mover,150,3,200,6,Low Priority Item
AC2468,113.66666666666667,3,Slow Mover,6,3,11,10,Low Priority Item
P6013132,114.0,3,Slow Mover,56,3,64,14,Low Priority Item
AC1464,115.66666666666667,3,Slow Mover,3,3,2,2,Low Priority Item
760913470,116.66666666666667,3,Slow Mover,178,3,86,6,Low Priority Item
P6011008,119.0,3,Slow Mover,73,3,57,4,Low Priority Item
184429,119.66666666666667,3,Slow Mover,4,3,4,4,Low Priority Item
P6010173,122.66666666666667,3,Slow Mover,40,3,18,3,Low Priority Item
V1000090,123.66666666666667,3,Slow Mover,358,3,158,2,Low Priority Item
52-322-941-001,124.0,3,Slow Mover,17,3,24,14,Low Priority Item
P5003550,124.0,3,Slow Mover,7,3,7,3,Low Priority Item
P5001735,125.0,3,Slow Mover,10,6,9,5,Low Priority Item
SM2087,129.33333333333334,3,Slow Mover,262,5,264,4,Low Priority Item
P82099,131.66666666666666,3,Slow Mover,4,4,2,2,Low Priority Item
