year,quarter,item_number,shipped_qty,average_inventory,turnover_rate
2021,1,246271,0.0,800.0,0.0
2021,1,500089,163.0,81.5,2.0
2021,1,509101,649.0,-360.25,-1.8015267175572518
2021,1,510762,344.0,-172.0,-2.0
2021,1,510824,98.0,-49.0,-2.0
2021,1,510825,54.0,-27.0,-2.0
2021,1,510936,120.0,-87.5,-1.3714285714285714
2021,1,512620,192.0,-96.0,-2.0
2021,1,512740,283.0,-197.25,-1.4347275031685678
2021,1,512749,458.0,-125.5,-3.649402390438247
2021,1,513049,380.0,-180.0,-2.111111111111111
2021,1,513061,43.0,-21.5,-2.0
2021,1,513601,120.0,-48.0,-2.5
2021,1,52-115-223-001,2.0,0.25,8.0
2021,1,52-116-917-501,0.0,4.0,0.0
2021,1,52-116-917-520,0.0,8.0,0.0
2021,1,52-116-917-523,4.0,2.0,2.0
2021,1,52-116-918-501,20.0,6.0,3.3333333333333335
2021,1,52-116-918-521,0.0,2.0,0.0
2021,1,52-116-920-501,16.0,-2.5,-6.4
2021,1,52-116-921-501,5.0,-0.25,-20.0
2021,1,52-116-922-501,6.0,11.0,0.5454545454545454
2021,1,52-116-923-501,6.0,3.0,2.0
2021,1,52-116-924-501,14.0,8.25,1.696969696969697
2021,1,52-116-926-501,12.0,0.8333333333333334,14.399999999999999
2021,1,52-116-968-501,4.0,3.3333333333333335,1.2
2021,1,52-118-401-501,7.0,19.75,0.35443037974683544
2021,1,52-123-957-501,9.0,0.8333333333333334,10.799999999999999
2021,1,52-123-957-522,0.0,4.0,0.0
2021,1,52-128-321-501,1.0,26.25,0.0380952380952381
2021,1,52-128-321-521,0.0,0.5,0.0
2021,1,52-129-440-501,0.0,8.0,0.0
2021,1,52-129-440-520,0.0,1.0,0.0
2021,1,52-129-440-521,0.0,1.0,0.0
2021,1,52-129-475-501,3.0,-0.5,-6.0
2021,1,52-229-646-001,16.0,0.5,32.0
2021,1,52-229-647-001,13.0,-0.5,-26.0
2021,1,52-239-344-001,0.0,16.0,0.0
2021,1,52-239-562-001,53.0,-22.25,-2.3820224719101124
2021,1,52-239-563-001,16.0,-5.5,-2.909090909090909
2021,1,52-239-566-001,14.0,-8.5,-1.6470588235294117
2021,1,52-239-567-001,2.0,-1.0,-2.0
2021,1,52-260-537-001,16.0,-8.0,-2.0
2021,1,52-261-022-001,0.0,0.5,0.0
2021,1,52-261-521-001,0.0,28.0,0.0
2021,1,52-261-582-001,0.0,16.0,0.0
2021,1,52-261-625-001,21.0,-9.25,-2.27027027027027
2021,1,52-324-015-084,0.0,2.5,0.0
2021,1,52-324-015-092,1.0,-0.5,-2.0
2021,1,52-327-220-007,1.0,0.0,inf
2021,1,52-360-905-001,4.0,-2.0,-2.0
2021,1,52-362-268-001,13.0,-6.5,-2.0
2021,1,52-362-269-001,36.0,-18.0,-2.0
2021,1,52-362-271-001,55.0,-21.75,-2.528735632183908
2021,1,52-362-317-001,9.0,-4.5,-2.0
2021,1,52-362-318-001,15.0,-6.75,-2.2222222222222223
2021,1,52-362-322-001,7.0,-2.25,-3.111111111111111
2021,1,52-362-329-001,31.0,-10.75,-2.883720930232558
2021,1,52-362-332-001,26.0,-12.5,-2.08
2021,1,52-362-333-001,13.0,-9.25,-1.4054054054054055
2021,1,52-362-387-001,0.0,18.75,0.0
2021,1,52-427-144-501,120.0,-51.5,-2.3300970873786406
2021,1,52-427-145-501,9.0,-4.75,-1.894736842105263
2021,1,52-427-242-501,4.0,-2.0,-2.0
2021,1,52-427-243-501,10.0,-5.5,-1.8181818181818181
