item_number,transaction_date_received,Quantity_received,period,transaction_date_shipped,Quantity_shipped,ship_receive_ratio,previous_ratio
103260LF,2021-04-30 00:00:00,432.0,2021-04,0,0.0,0.0,0.0
103260LF,2021-06-30 00:00:00,720.0,2021-06,2021-06-30 00:00:00,864.0,1.2,0.0
103260LF,2021-08-31 00:00:00,144.0,2021-08,2021-08-31 00:00:00,288.0,2.0,1.2
103260LF,2022-01-31 00:00:00,36.0,2022-01,0,0.0,0.0,2.0
103261LF,2021-06-30 00:00:00,288.0,2021-06,0,0.0,0.0,
103267,2021-03-31 00:00:00,42.0,2021-03,2021-03-31 00:00:00,42.0,1.0,
103267,2021-06-30 00:00:00,144.0,2021-06,2021-06-30 00:00:00,288.0,2.0,1.0
103267,2021-07-31 00:00:00,144.0,2021-07,0,0.0,0.0,2.0
103306LF,2021-08-31 00:00:00,419.0,2021-08,0,0.0,0.0,
103350,2021-02-28 00:00:00,432.0,2021-02,0,0.0,0.0,
103350,2021-03-31 00:00:00,144.0,2021-03,0,0.0,0.0,0.0
103350,2021-04-30 00:00:00,288.0,2021-04,0,0.0,0.0,0.0
103350,2021-05-31 00:00:00,144.0,2021-05,0,0.0,0.0,0.0
103350,2021-08-31 00:00:00,432.0,2021-08,0,0.0,0.0,0.0
103350,2022-02-28 00:00:00,432.0,2022-02,2022-02-28 00:00:00,432.0,1.0,0.0
103351LF,2021-03-31 00:00:00,288.0,2021-03,0,0.0,0.0,
103351LF,2021-06-30 00:00:00,288.0,2021-06,2021-06-30 00:00:00,576.0,2.0,0.0
103400,2021-01-31 00:00:00,1800.0,2021-01,0,0.0,0.0,
103400,2021-02-28 00:00:00,600.0,2021-02,0,0.0,0.0,0.0
103400,2021-03-31 00:00:00,20.0,2021-03,2021-03-31 00:00:00,20.0,1.0,0.0
103400,2021-04-30 00:00:00,1000.0,2021-04,0,0.0,0.0,1.0
103400,2021-06-30 00:00:00,3700.0,2021-06,2021-06-30 00:00:00,3600.0,0.972972972972973,0.0
103401LF,2021-01-31 00:00:00,200.0,2021-01,0,0.0,0.0,
103401LF,2021-03-31 00:00:00,1000.0,2021-03,0,0.0,0.0,0.0
103401LF,2021-05-31 00:00:00,1000.0,2021-05,0,0.0,0.0,0.0
103401LF,2021-07-31 00:00:00,200.0,2021-07,2021-07-31 00:00:00,200.0,1.0,0.0
103402,2021-03-31 00:00:00,180.0,2021-03,0,0.0,0.0,
103402,2021-04-30 00:00:00,70.0,2021-04,0,0.0,0.0,0.0
103402,2021-06-30 00:00:00,20.0,2021-06,2021-06-30 00:00:00,40.0,2.0,0.0
103402,2021-07-31 00:00:00,50.0,2021-07,2021-07-31 00:00:00,100.0,2.0,2.0
103404,2021-04-30 00:00:00,120.0,2021-04,0,0.0,0.0,
103404,2021-05-31 00:00:00,40.0,2021-05,0,0.0,0.0,0.0
103404,2021-06-30 00:00:00,20.0,2021-06,2021-06-30 00:00:00,40.0,2.0,0.0
103404,2021-08-31 00:00:00,140.0,2021-08,2021-08-31 00:00:00,280.0,2.0,2.0
103405LF,2021-05-31 00:00:00,240.0,2021-05,0,0.0,0.0,
103405LF,2021-06-30 00:00:00,60.0,2021-06,2021-06-30 00:00:00,120.0,2.0,0.0
103417,2021-01-31 00:00:00,864.0,2021-01,0,0.0,0.0,
103417,2021-03-31 00:00:00,3168.0,2021-03,0,0.0,0.0,0.0
103417,2021-04-30 00:00:00,2880.0,2021-04,0,0.0,0.0,0.0
103417,2021-06-30 00:00:00,1440.0,2021-06,2021-06-30 00:00:00,1296.0,0.9,0.0
103418LF,2021-04-30 00:00:00,1152.0,2021-04,2021-04-30 00:00:00,37.0,0.03211805555555555,
103418LF,2021-05-31 00:00:00,576.0,2021-05,0,0.0,0.0,0.03211805555555555
103418LF,2021-06-30 00:00:00,144.0,2021-06,2021-06-30 00:00:00,144.0,1.0,0.0
