year,quarter_x,item_number,received_qty,quarter_y,shipped_qty,turnover_rate
2021,2.0,104302,39.0,3.0,20.0,0.5128205128205128
2021,3.0,104302,19.0,1.0,11.0,0.5789473684210527
2021,3.0,104302,19.0,3.0,20.0,1.0526315789473684
2021,1.0,104303,3.0,1.0,6.0,2.0
2021,1.0,104303,3.0,2.0,3.0,1.0
2021,1.0,104303,3.0,3.0,146.0,48.666666666666664
2021,1.0,104303,3.0,4.0,12.0,4.0
2021,2.0,104303,113.0,1.0,6.0,0.05309734513274336
2021,2.0,104303,113.0,2.0,3.0,0.02654867256637168
2021,2.0,104303,113.0,3.0,146.0,1.2920353982300885
2021,2.0,104303,113.0,4.0,12.0,0.10619469026548672
2021,3.0,104303,60.0,1.0,6.0,0.1
2021,3.0,104303,60.0,2.0,3.0,0.05
2021,3.0,104303,60.0,3.0,146.0,2.433333333333333
2021,3.0,104303,60.0,4.0,12.0,0.2
2021,4.0,104303,30.0,1.0,6.0,0.2
2021,4.0,104303,30.0,2.0,3.0,0.1
2021,4.0,104303,30.0,3.0,146.0,4.866666666666666
2021,4.0,104303,30.0,4.0,12.0,0.4
2021,1.0,104306,10.0,1.0,72.0,7.2
2021,1.0,104306,10.0,2.0,18.0,1.8
2021,1.0,104306,10.0,3.0,408.0,40.8
2021,1.0,104306,10.0,4.0,110.0,11.0
2021,2.0,104306,108.0,1.0,72.0,0.6666666666666666
2021,2.0,104306,108.0,2.0,18.0,0.16666666666666666
2021,2.0,104306,108.0,3.0,408.0,3.7777777777777777
2021,2.0,104306,108.0,4.0,110.0,1.0185185185185186
2021,3.0,104306,256.0,1.0,72.0,0.28125
2021,3.0,104306,256.0,2.0,18.0,0.0703125
2021,3.0,104306,256.0,3.0,408.0,1.59375
2021,3.0,104306,256.0,4.0,110.0,0.4296875
2021,4.0,104306,51.0,1.0,72.0,1.411764705882353
2021,4.0,104306,51.0,2.0,18.0,0.35294117647058826
2021,4.0,104306,51.0,3.0,408.0,8.0
2021,4.0,104306,51.0,4.0,110.0,2.156862745098039
2021,1.0,104308,72.0,1.0,78.0,1.0833333333333333
2021,1.0,104308,72.0,2.0,114.0,1.5833333333333333
2021,1.0,104308,72.0,3.0,338.0,4.694444444444445
2021,1.0,104308,72.0,4.0,71.0,0.9861111111111112
2021,3.0,104308,169.0,1.0,78.0,0.46153846153846156
2021,3.0,104308,169.0,2.0,114.0,0.6745562130177515
2021,3.0,104308,169.0,3.0,338.0,2.0
2021,3.0,104308,169.0,4.0,71.0,0.42011834319526625
2021,4.0,104308,90.0,1.0,78.0,0.8666666666666667
2021,4.0,104308,90.0,2.0,114.0,1.2666666666666666
2021,4.0,104308,90.0,3.0,338.0,3.7555555555555555
2021,4.0,104308,90.0,4.0,71.0,0.7888888888888889
2021,1.0,104309,12.0,1.0,102.0,8.5
2021,1.0,104309,12.0,2.0,330.0,27.5
2021,1.0,104309,12.0,3.0,268.0,22.333333333333332
2021,1.0,104309,12.0,4.0,82.0,6.833333333333333
2021,2.0,104309,136.0,1.0,102.0,0.75
2021,2.0,104309,136.0,2.0,330.0,2.426470588235294
2021,2.0,104309,136.0,3.0,268.0,1.9705882352941178
2021,2.0,104309,136.0,4.0,82.0,0.6029411764705882
2021,3.0,104309,152.0,1.0,102.0,0.6710526315789473
2021,3.0,104309,152.0,2.0,330.0,2.1710526315789473
2021,3.0,104309,152.0,3.0,268.0,1.763157894736842
2021,3.0,104309,152.0,4.0,82.0,0.5394736842105263
2021,4.0,104309,90.0,1.0,102.0,1.1333333333333333
2021,4.0,104309,90.0,2.0,330.0,3.6666666666666665
2021,4.0,104309,90.0,3.0,268.0,2.977777777777778
2021,4.0,104309,90.0,4.0,82.0,0.9111111111111111
2021,1.0,104310,31.0,1.0,20.0,0.6451612903225806
2021,1.0,104310,31.0,3.0,234.0,7.548387096774194
2021,1.0,104310,31.0,4.0,48.0,1.5483870967741935
2021,2.0,104310,36.0,1.0,20.0,0.5555555555555556
2021,2.0,104310,36.0,3.0,234.0,6.5
2021,2.0,104310,36.0,4.0,48.0,1.3333333333333333
2021,3.0,104310,82.0,1.0,20.0,0.24390243902439024
2021,3.0,104310,82.0,3.0,234.0,2.8536585365853657
2021,3.0,104310,82.0,4.0,48.0,0.5853658536585366
2021,4.0,104310,50.0,1.0,20.0,0.4
2021,4.0,104310,50.0,3.0,234.0,4.68
2021,4.0,104310,50.0,4.0,48.0,0.96
2021,1.0,104312,25.0,1.0,28.0,1.12
2021,1.0,104312,25.0,2.0,16.0,0.64
2021,1.0,104312,25.0,3.0,152.0,6.08
2021,1.0,104312,25.0,4.0,61.0,2.44
2021,2.0,104312,20.0,1.0,28.0,1.4
2021,2.0,104312,20.0,2.0,16.0,0.8
2021,2.0,104312,20.0,3.0,152.0,7.6
2021,2.0,104312,20.0,4.0,61.0,3.05
2021,3.0,104312,62.0,1.0,28.0,0.45161290322580644
2021,3.0,104312,62.0,2.0,16.0,0.25806451612903225
2021,3.0,104312,62.0,3.0,152.0,2.4516129032258065
2021,3.0,104312,62.0,4.0,61.0,0.9838709677419355
2021,4.0,104312,32.0,1.0,28.0,0.875
2021,4.0,104312,32.0,2.0,16.0,0.5
2021,4.0,104312,32.0,3.0,152.0,4.75
2021,4.0,104312,32.0,4.0,61.0,1.90625
2021,1.0,104313,11.0,1.0,3.0,0.2727272727272727
2021,1.0,104313,11.0,3.0,37.0,3.3636363636363638
2021,1.0,104313,11.0,4.0,1.0,0.09090909090909091
2021,2.0,104313,13.0,1.0,3.0,0.23076923076923078
2021,2.0,104313,13.0,3.0,37.0,2.8461538461538463
2021,2.0,104313,13.0,4.0,1.0,0.07692307692307693
2021,3.0,104313,24.0,1.0,3.0,0.125
2021,3.0,104313,24.0,3.0,37.0,1.5416666666666667
2021,3.0,104313,24.0,4.0,1.0,0.041666666666666664
2021,1.0,104318,48.0,1.0,58.0,1.2083333333333333
2021,1.0,104318,48.0,2.0,80.0,1.6666666666666667
2021,1.0,104318,48.0,3.0,162.0,3.375
2021,1.0,104318,48.0,4.0,96.0,2.0
2021,2.0,104318,40.0,1.0,58.0,1.45
2021,2.0,104318,40.0,2.0,80.0,2.0
2021,2.0,104318,40.0,3.0,162.0,4.05
2021,2.0,104318,40.0,4.0,96.0,2.4
2021,3.0,104318,133.0,1.0,58.0,0.43609022556390975
2021,3.0,104318,133.0,2.0,80.0,0.6015037593984962
2021,3.0,104318,133.0,3.0,162.0,1.218045112781955
2021,3.0,104318,133.0,4.0,96.0,0.7218045112781954
2021,4.0,104318,44.0,1.0,58.0,1.3181818181818181
2021,4.0,104318,44.0,2.0,80.0,1.8181818181818181
2021,4.0,104318,44.0,3.0,162.0,3.6818181818181817
2021,4.0,104318,44.0,4.0,96.0,2.1818181818181817
2021,1.0,104321,54.0,1.0,39.0,0.7222222222222222
2021,1.0,104321,54.0,2.0,49.0,0.9074074074074074
2021,1.0,104321,54.0,3.0,115.0,2.1296296296296298
2021,1.0,104321,54.0,4.0,54.0,1.0
2021,2.0,104321,40.0,1.0,39.0,0.975
2021,2.0,104321,40.0,2.0,49.0,1.225
2021,2.0,104321,40.0,3.0,115.0,2.875
2021,2.0,104321,40.0,4.0,54.0,1.35
2021,3.0,104321,61.0,1.0,39.0,0.639344262295082
2021,3.0,104321,61.0,2.0,49.0,0.8032786885245902
2021,3.0,104321,61.0,3.0,115.0,1.8852459016393444
2021,3.0,104321,61.0,4.0,54.0,0.8852459016393442
2021,4.0,104321,17.0,1.0,39.0,2.2941176470588234
2021,4.0,104321,17.0,2.0,49.0,2.8823529411764706
2021,4.0,104321,17.0,3.0,115.0,6.764705882352941
2021,4.0,104321,17.0,4.0,54.0,3.176470588235294
2021,1.0,104323,16.0,3.0,32.0,2.0
2021,1.0,104323,16.0,4.0,38.0,2.375
2021,3.0,104323,23.0,3.0,32.0,1.391304347826087
2021,3.0,104323,23.0,4.0,38.0,1.6521739130434783
2021,4.0,104323,10.0,3.0,32.0,3.2
2021,4.0,104323,10.0,4.0,38.0,3.8
2021,1.0,104450LF,96.0,1.0,101.0,1.0520833333333333
2021,1.0,104450LF,96.0,2.0,160.0,1.6666666666666667
2021,1.0,104450LF,96.0,3.0,417.0,4.34375
2021,1.0,104450LF,96.0,4.0,261.0,2.71875
2021,2.0,104450LF,159.0,1.0,101.0,0.6352201257861635
2021,2.0,104450LF,159.0,2.0,160.0,1.0062893081761006
2021,2.0,104450LF,159.0,3.0,417.0,2.6226415094339623
2021,2.0,104450LF,159.0,4.0,261.0,1.6415094339622642
2021,3.0,104450LF,225.0,1.0,101.0,0.4488888888888889
2021,3.0,104450LF,225.0,2.0,160.0,0.7111111111111111
2021,3.0,104450LF,225.0,3.0,417.0,1.8533333333333333
2021,3.0,104450LF,225.0,4.0,261.0,1.16
2021,4.0,104450LF,259.0,1.0,101.0,0.38996138996138996
2021,4.0,104450LF,259.0,2.0,160.0,0.6177606177606177
2021,4.0,104450LF,259.0,3.0,417.0,1.61003861003861
2021,4.0,104450LF,259.0,4.0,261.0,1.0077220077220077
2021,1.0,104451LF,113.0,2.0,359.0,3.1769911504424777
2021,1.0,104451LF,113.0,3.0,454.0,4.017699115044247
2021,1.0,104451LF,113.0,4.0,238.0,2.106194690265487
2021,2.0,104451LF,300.0,2.0,359.0,1.1966666666666668
2021,2.0,104451LF,300.0,3.0,454.0,1.5133333333333334
2021,2.0,104451LF,300.0,4.0,238.0,0.7933333333333333
2021,3.0,104451LF,186.0,2.0,359.0,1.9301075268817205
2021,3.0,104451LF,186.0,3.0,454.0,2.4408602150537635
2021,3.0,104451LF,186.0,4.0,238.0,1.2795698924731183
2021,4.0,104451LF,205.0,2.0,359.0,1.751219512195122
2021,4.0,104451LF,205.0,3.0,454.0,2.2146341463414636
2021,4.0,104451LF,205.0,4.0,238.0,1.1609756097560975
2021,1.0,104452LF,24.0,1.0,12.0,0.5
2021,1.0,104452LF,24.0,2.0,12.0,0.5
2021,1.0,104452LF,24.0,3.0,48.0,2.0
2021,1.0,104452LF,24.0,4.0,12.0,0.5
2021,2.0,104452LF,36.0,1.0,12.0,0.3333333333333333
2021,2.0,104452LF,36.0,2.0,12.0,0.3333333333333333
2021,2.0,104452LF,36.0,3.0,48.0,1.3333333333333333
2021,2.0,104452LF,36.0,4.0,12.0,0.3333333333333333
2021,4.0,104452LF,6.0,1.0,12.0,2.0
2021,4.0,104452LF,6.0,2.0,12.0,2.0
2021,4.0,104452LF,6.0,3.0,48.0,8.0
2021,4.0,104452LF,6.0,4.0,12.0,2.0
2021,1.0,104453LF,13.0,1.0,2.0,0.15384615384615385
2021,1.0,104453LF,13.0,2.0,12.0,0.9230769230769231
2021,1.0,104453LF,13.0,3.0,54.0,4.153846153846154
2021,1.0,104453LF,13.0,4.0,27.0,2.076923076923077
2021,2.0,104453LF,2.0,1.0,2.0,1.0
2021,2.0,104453LF,2.0,2.0,12.0,6.0
2021,2.0,104453LF,2.0,3.0,54.0,27.0
2021,2.0,104453LF,2.0,4.0,27.0,13.5
2021,3.0,104453LF,31.0,1.0,2.0,0.06451612903225806
2021,3.0,104453LF,31.0,2.0,12.0,0.3870967741935484
2021,3.0,104453LF,31.0,3.0,54.0,1.7419354838709677
2021,3.0,104453LF,31.0,4.0,27.0,0.8709677419354839
2021,4.0,104453LF,19.0,1.0,2.0,0.10526315789473684
2021,4.0,104453LF,19.0,2.0,12.0,0.631578947368421
2021,4.0,104453LF,19.0,3.0,54.0,2.8421052631578947
2021,4.0,104453LF,19.0,4.0,27.0,1.4210526315789473
2021,1.0,104456LF,10.0,2.0,81.0,8.1
2021,1.0,104456LF,10.0,3.0,346.0,34.6
2021,1.0,104456LF,10.0,4.0,63.0,6.3
2021,2.0,104456LF,140.0,2.0,81.0,0.5785714285714286
2021,2.0,104456LF,140.0,3.0,346.0,2.4714285714285715
2021,2.0,104456LF,140.0,4.0,63.0,0.45
2021,3.0,104456LF,138.0,2.0,81.0,0.5869565217391305
2021,3.0,104456LF,138.0,3.0,346.0,2.5072463768115942
2021,3.0,104456LF,138.0,4.0,63.0,0.45652173913043476
2021,4.0,104456LF,103.0,2.0,81.0,0.7864077669902912
2021,4.0,104456LF,103.0,3.0,346.0,3.3592233009708736
2021,4.0,104456LF,103.0,4.0,63.0,0.6116504854368932
2021,1.0,104459LF,4.0,1.0,16.0,4.0
2021,1.0,104459LF,4.0,2.0,24.0,6.0
2021,1.0,104459LF,4.0,3.0,148.0,37.0
2021,1.0,104459LF,4.0,4.0,28.0,7.0
2021,2.0,104459LF,44.0,1.0,16.0,0.36363636363636365
2021,2.0,104459LF,44.0,2.0,24.0,0.5454545454545454
2021,2.0,104459LF,44.0,3.0,148.0,3.3636363636363638
2021,2.0,104459LF,44.0,4.0,28.0,0.6363636363636364
2021,3.0,104459LF,44.0,1.0,16.0,0.36363636363636365
2021,3.0,104459LF,44.0,2.0,24.0,0.5454545454545454
2021,3.0,104459LF,44.0,3.0,148.0,3.3636363636363638
2021,3.0,104459LF,44.0,4.0,28.0,0.6363636363636364
2021,4.0,104459LF,36.0,1.0,16.0,0.4444444444444444
2021,4.0,104459LF,36.0,2.0,24.0,0.6666666666666666
2021,4.0,104459LF,36.0,3.0,148.0,4.111111111111111
2021,4.0,104459LF,36.0,4.0,28.0,0.7777777777777778
2021,1.0,104460LF,10.0,1.0,8.0,0.8
2021,1.0,104460LF,10.0,2.0,9.0,0.9
2021,1.0,104460LF,10.0,3.0,92.0,9.2
2021,1.0,104460LF,10.0,4.0,14.0,1.4
2021,2.0,104460LF,18.0,1.0,8.0,0.4444444444444444
2021,2.0,104460LF,18.0,2.0,9.0,0.5
2021,2.0,104460LF,18.0,3.0,92.0,5.111111111111111
2021,2.0,104460LF,18.0,4.0,14.0,0.7777777777777778
2021,3.0,104460LF,40.0,1.0,8.0,0.2
2021,3.0,104460LF,40.0,2.0,9.0,0.225
2021,3.0,104460LF,40.0,3.0,92.0,2.3
2021,3.0,104460LF,40.0,4.0,14.0,0.35
2021,4.0,104460LF,10.0,1.0,8.0,0.8
2021,4.0,104460LF,10.0,2.0,9.0,0.9
2021,4.0,104460LF,10.0,3.0,92.0,9.2
2021,4.0,104460LF,10.0,4.0,14.0,1.4
2021,1.0,104463LF,2.0,1.0,4.0,2.0
2021,1.0,104463LF,2.0,3.0,6.0,3.0
2021,1.0,104463LF,2.0,4.0,7.0,3.5
2021,4.0,104463LF,9.0,1.0,4.0,0.4444444444444444
2021,4.0,104463LF,9.0,3.0,6.0,0.6666666666666666
2021,4.0,104463LF,9.0,4.0,7.0,0.7777777777777778
2021,1.0,104465LF,15.0,1.0,3.0,0.2
2021,1.0,104465LF,15.0,2.0,18.0,1.2
2021,1.0,104465LF,15.0,3.0,61.0,4.066666666666666
2021,1.0,104465LF,15.0,4.0,29.0,1.9333333333333333
2021,2.0,104465LF,22.0,1.0,3.0,0.13636363636363635
2021,2.0,104465LF,22.0,2.0,18.0,0.8181818181818182
2021,2.0,104465LF,22.0,3.0,61.0,2.772727272727273
2021,2.0,104465LF,22.0,4.0,29.0,1.3181818181818181
2021,3.0,104465LF,12.0,1.0,3.0,0.25
2021,3.0,104465LF,12.0,2.0,18.0,1.5
2021,3.0,104465LF,12.0,3.0,61.0,5.083333333333333
2021,3.0,104465LF,12.0,4.0,29.0,2.4166666666666665
2021,4.0,104465LF,21.0,1.0,3.0,0.14285714285714285
2021,4.0,104465LF,21.0,2.0,18.0,0.8571428571428571
2021,4.0,104465LF,21.0,3.0,61.0,2.9047619047619047
2021,4.0,104465LF,21.0,4.0,29.0,1.380952380952381
2021,1.0,104478LF,4.0,1.0,2.0,0.5
2021,1.0,104478LF,4.0,3.0,6.0,1.5
2021,1.0,104478LF,4.0,4.0,2.0,0.5
2021,2.0,104478LF,4.0,1.0,2.0,0.5
2021,2.0,104478LF,4.0,3.0,6.0,1.5
2021,2.0,104478LF,4.0,4.0,2.0,0.5
2021,4.0,104478LF,3.0,1.0,2.0,0.6666666666666666
2021,4.0,104478LF,3.0,3.0,6.0,2.0
2021,4.0,104478LF,3.0,4.0,2.0,0.6666666666666666
2021,1.0,104609,2.0,1.0,2.0,1.0
2021,1.0,104609,2.0,2.0,10.0,5.0
2021,1.0,104609,2.0,3.0,14.0,7.0
2021,2.0,104609,11.0,1.0,2.0,0.18181818181818182
2021,2.0,104609,11.0,2.0,10.0,0.9090909090909091
2021,2.0,104609,11.0,3.0,14.0,1.2727272727272727
2021,3.0,104609,6.0,1.0,2.0,0.3333333333333333
2021,3.0,104609,6.0,2.0,10.0,1.6666666666666667
2021,3.0,104609,6.0,3.0,14.0,2.3333333333333335
2021,1.0,106507,144.0,2.0,576.0,4.0
2021,1.0,106507,144.0,3.0,288.0,2.0
2021,2.0,106507,1440.0,2.0,576.0,0.4
2021,2.0,106507,1440.0,3.0,288.0,0.2
2021,1.0,106514LF,288.0,1.0,144.0,0.5
2021,1.0,106514LF,288.0,2.0,1076.0,3.736111111111111
2021,1.0,106514LF,288.0,3.0,594.0,2.0625
2021,2.0,106514LF,1872.0,1.0,144.0,0.07692307692307693
2021,2.0,106514LF,1872.0,2.0,1076.0,0.5747863247863247
2021,2.0,106514LF,1872.0,3.0,594.0,0.3173076923076923
2021,3.0,106514LF,432.0,1.0,144.0,0.3333333333333333
2021,3.0,106514LF,432.0,2.0,1076.0,2.490740740740741
2021,3.0,106514LF,432.0,3.0,594.0,1.375
2021,1.0,110191LF,6.0,2.0,144.0,24.0
2021,4.0,110191LF,48.0,2.0,144.0,3.0
2021,1.0,110194LF,12.0,2.0,10.0,0.8333333333333334
2021,1.0,110194LF,12.0,3.0,96.0,8.0
2021,3.0,110194LF,48.0,2.0,10.0,0.20833333333333334
2021,3.0,110194LF,48.0,3.0,96.0,2.0
2021,1.0,115104,652.0,1.0,144.0,0.22085889570552147
2021,1.0,115104,652.0,2.0,518.0,0.7944785276073619
2021,1.0,115104,652.0,3.0,908.0,1.392638036809816
2021,1.0,115104,652.0,4.0,432.0,0.6625766871165644
2021,2.0,115104,144.0,1.0,144.0,1.0
2021,2.0,115104,144.0,2.0,518.0,3.5972222222222223
2021,2.0,115104,144.0,3.0,908.0,6.305555555555555
2021,2.0,115104,144.0,4.0,432.0,3.0
2021,3.0,115104,324.0,1.0,144.0,0.4444444444444444
2021,3.0,115104,324.0,2.0,518.0,1.5987654320987654
2021,3.0,115104,324.0,3.0,908.0,2.802469135802469
2021,3.0,115104,324.0,4.0,432.0,1.3333333333333333
2021,4.0,115104,1008.0,1.0,144.0,0.14285714285714285
2021,4.0,115104,1008.0,2.0,518.0,0.5138888888888888
2021,4.0,115104,1008.0,3.0,908.0,0.9007936507936508
2021,4.0,115104,1008.0,4.0,432.0,0.42857142857142855
2021,1.0,115111,260.0,1.0,150.0,0.5769230769230769
2021,1.0,115111,260.0,2.0,200.0,0.7692307692307693
2021,1.0,115111,260.0,3.0,320.0,1.2307692307692308
2021,1.0,115111,260.0,4.0,774.0,2.976923076923077
2021,2.0,115111,40.0,1.0,150.0,3.75
2021,2.0,115111,40.0,2.0,200.0,5.0
2021,2.0,115111,40.0,3.0,320.0,8.0
2021,2.0,115111,40.0,4.0,774.0,19.35
2021,3.0,115111,180.0,1.0,150.0,0.8333333333333334
2021,3.0,115111,180.0,2.0,200.0,1.1111111111111112
2021,3.0,115111,180.0,3.0,320.0,1.7777777777777777
2021,3.0,115111,180.0,4.0,774.0,4.3
2021,4.0,115111,1180.0,1.0,150.0,0.1271186440677966
2021,4.0,115111,1180.0,2.0,200.0,0.1694915254237288
2021,4.0,115111,1180.0,3.0,320.0,0.2711864406779661
2021,4.0,115111,1180.0,4.0,774.0,0.6559322033898305
2021,1.0,115112,168.0,1.0,46.0,0.27380952380952384
2021,1.0,115112,168.0,2.0,224.0,1.3333333333333333
2021,1.0,115112,168.0,3.0,280.0,1.6666666666666667
2021,1.0,115112,168.0,4.0,83.0,0.49404761904761907
2021,2.0,115112,168.0,1.0,46.0,0.27380952380952384
2021,2.0,115112,168.0,2.0,224.0,1.3333333333333333
2021,2.0,115112,168.0,3.0,280.0,1.6666666666666667
2021,2.0,115112,168.0,4.0,83.0,0.49404761904761907
2021,3.0,115112,112.0,1.0,46.0,0.4107142857142857
2021,3.0,115112,112.0,2.0,224.0,2.0
2021,3.0,115112,112.0,3.0,280.0,2.5
2021,3.0,115112,112.0,4.0,83.0,0.7410714285714286
2021,4.0,115112,428.0,1.0,46.0,0.10747663551401869
2021,4.0,115112,428.0,2.0,224.0,0.5233644859813084
2021,4.0,115112,428.0,3.0,280.0,0.6542056074766355
2021,4.0,115112,428.0,4.0,83.0,0.1939252336448598
2021,1.0,115113,108.0,1.0,139.0,1.287037037037037
2021,1.0,115113,108.0,3.0,212.0,1.962962962962963
2021,1.0,115113,108.0,4.0,74.0,0.6851851851851852
2021,2.0,115113,36.0,1.0,139.0,3.861111111111111
2021,2.0,115113,36.0,3.0,212.0,5.888888888888889
2021,2.0,115113,36.0,4.0,74.0,2.0555555555555554
2021,3.0,115113,108.0,1.0,139.0,1.287037037037037
2021,3.0,115113,108.0,3.0,212.0,1.962962962962963
2021,3.0,115113,108.0,4.0,74.0,0.6851851851851852
2021,4.0,115113,108.0,1.0,139.0,1.287037037037037
2021,4.0,115113,108.0,3.0,212.0,1.962962962962963
2021,4.0,115113,108.0,4.0,74.0,0.6851851851851852
2021,1.0,115114,72.0,1.0,108.0,1.5
2021,1.0,115114,72.0,2.0,108.0,1.5
2021,1.0,115114,72.0,3.0,72.0,1.0
2021,1.0,115114,72.0,4.0,23.0,0.3194444444444444
2021,2.0,115114,144.0,1.0,108.0,0.75
2021,2.0,115114,144.0,2.0,108.0,0.75
2021,2.0,115114,144.0,3.0,72.0,0.5
2021,2.0,115114,144.0,4.0,23.0,0.1597222222222222
2021,4.0,115114,144.0,1.0,108.0,0.75
2021,4.0,115114,144.0,2.0,108.0,0.75
2021,4.0,115114,144.0,3.0,72.0,0.5
2021,4.0,115114,144.0,4.0,23.0,0.1597222222222222
2021,1.0,115115,72.0,1.0,72.0,1.0
2021,1.0,115115,72.0,2.0,36.0,0.5
2021,1.0,115115,72.0,4.0,72.0,1.0
2021,3.0,115115,72.0,1.0,72.0,1.0
2021,3.0,115115,72.0,2.0,36.0,0.5
