item_number,hour,0
P90524,9,18
P2000828,12,18
V1000974,6,18
DM0005,11,18
P2004419,12,18
P70997,10,18
P2000915,7,18
P5003564,6,18
P90524,6,18
178518,11,18
P5004640,9,18
DM2045,5,18
P2001605,10,18
P2000872,6,18
P5001017,7,18
111042,6,18
P6011015,6,18
P75214,10,18
P2001011,5,17
P85243,13,17
V51759,7,17
P2004561,5,17
P6010237,6,17
P2001011,9,17
104460LF,7,17
V51767,6,17
P2004561,6,17
SM2118,5,17
185119,8,17
111040,13,17
P2000872,5,17
178672,10,17
P2002392,10,17
P2001146,11,17
SM2222,6,17
178707,10,17
P2004620,9,17
175006,11,17
P2002864,9,17
F14200,6,17
52-362-387-001,11,17
P2004624,8,17
P2001575,6,17
P2004630,9,17
175011,10,17
903585,6,17
104315,11,17
52-116-917-523,8,17
P2000864,13,17
903585,8,17
P2002865,6,17
903584,8,17
104312,11,17
P6010912,11,17
178690,9,17
903583,6,17
52-116-918-501,11,17
P2002463,13,17
P5003603,7,17
52-116-918-501,10,17
P2001011,10,17
115104,10,17
P5003603,6,17
60B0B1004,6,17
111040,11,17
R02940,6,17
P6010365,6,17
AC6503,6,17
P90527,12,17
SM2211,10,17
52-239-562-001,6,17
P5003566,13,17
179363,10,17
SM2117,11,17
111047,7,17
P6011033,12,17
115121,10,17
P81488,9,17
241160,6,17
V50810,6,17
P5004634,8,17
226240,6,17
104302,6,17
185114,6,17
104453LF,6,17
117106LF,6,17
230120,6,17
DR0612,10,17
SM0740,8,17
P5004272,7,17
P2000848,5,17
115177,6,17
P2000854,12,17
52-460-769-011,8,17
P2002484,12,17
P77179,11,17
P81485,9,17
52-460-769-011,6,17
P6014717,10,17
P2000888,12,17
P58492,12,17
DP3598,5,17
P03560,6,17
104326,8,17
P5001019,9,17
104302,7,17
P5001079,6,17
P2002404,5,17
P2000655,11,17
P2002402,11,17
V1001198,6,17
P5001016,11,17
P2002500,13,17
DE0951,9,17
P6014717,7,17
115184,10,17
P6015375,6,17
175079,6,17
P2000866,11,17
P2001007,8,17
115116,6,17
52-116-920-501,7,17
175080,10,17
P75214,9,17
117412LF,10,17
P41100,9,17
P77119,13,17
P2004413,13,17
P77139,7,17
P2000848,9,17
107018,11,17
903581,9,17
903581,8,17
SM0748,11,17
DP3598,12,17
239600,7,17
P2002406,13,17
P2002400,13,17
P75214,12,17
P2002469,10,16
P5001503,6,16
P5001019,13,16
SM2247,6,16
P6010585,6,16
P78738,10,16
V51761,5,16
P5001539,9,16
P2002591,12,16
175863,7,16
V50832,12,16
P08420,11,16
P77177,10,16
175014,11,16
P43672,6,16
P2000832,8,16
104300,13,16
V59173,6,16
V50832,8,16
185108,7,16
185108,12,16
104313,6,16
178508,11,16
AC1869,9,16
P77214,13,16
P2000874,6,16
175017,10,16
P2002398,12,16
V1000300,9,16
52-460-808-501,6,16
AC0720,7,16
P85255,11,16
P41780,6,16
DM0462,12,16
P41624,6,16
P6011019,10,16
P2002414,11,16
P85254,10,16
P85166,7,16
G96838,5,16
P2002400,12,16
AC0720,6,16
P2000832,9,16
SM2250,7,16
104460LF,5,16
AP0043,6,16
P2001003,6,16
P2002465,6,16
SM2309,5,16
P41620,6,16
P85246,9,16
P85239,7,16
P2004705,8,16
52-129-440-501,8,16
P2002398,13,16
P41780,7,16
104303,8,16
P2002394,12,16
P6015553,6,16
P43663,6,16
182198,6,16
G96817,7,16
P42546,6,16
SM2250,10,16
V51761,8,16
SM2251,6,16
G96817,9,16
52-362-271-001,10,16
104308,9,16
P2004634,7,16
SM2253,8,16
P2001125,9,16
P5001079,11,16
P6010911,6,16
178690,10,16
104306,10,16
P61449,12,16
P00432,5,16
V1000296,5,16
V51758,10,16
238480,6,16
V51973,11,16
M28177,6,16
SM0748,5,16
P77109,5,16
SM2118,10,16
V51964,6,16
P5004639,11,16
115188,10,16
SM2211,9,16
115112,9,16
P2001621,6,16
P2004415,10,16
P5004640,7,16
117404LF,8,16
P2004417,13,16
P5003603,10,16
DR0218,6,16
P2002390,9,16
P2004567,11,16
112098,6,16
P2000848,8,16
P70962,8,16
P2000822,8,16
SM2199,6,16
903583,12,16
P5004635,10,16
DM2060,7,16
P2000866,8,16
P58496,9,16
903575,6,16
P58496,5,16
P6010365,10,16
SM0758,9,16
P58576,7,16
SM0743,8,16
P6010267,7,16
P70962,7,16
52-460-769-011,9,16
P2001630,9,16
P70960,10,16
115182,7,16
P2000854,9,16
52-239-563-001,6,16
P2002865,10,16
P2004427,13,16
DP1603,10,16
115179,9,16
SM0746,10,16
P5003615,7,16
P2001745,5,16
P2001605,8,16
DT0420,4,16
P5003623,6,16
P57081,11,16
P5002192,6,16
SM2227,12,16
P6010444,7,16
SM0759,7,16
P2002866,6,16
DP1603,7,16
175006,6,16
P2002866,8,16
SM0738,6,15
185114,11,15
SM0741,7,15
SM0730,6,15
115121,13,15
SM0741,10,15
P2000856,9,15
P5003625,6,15
185113,12,15
P5003623,9,15
60A0B3002,6,15
P82329,9,15
P5004632,12,15
AC1863,5,15
P2001742,9,15
SM0718,11,15
52-362-271-001,7,15
P2000872,9,15
P2000854,8,15
175079,12,15
P85237,11,15
185116,9,15
185115,13,15
107019,7,15
P2001742,7,15
P6010057,6,15
SM0739,9,15
P82364,7,15
SM2717,7,15
104300,11,15
104303,11,15
104323,6,15
115119,10,15
52-261-582-001,7,15
P5001245,6,15
231900,10,15
P6010088,6,15
175829,7,15
903574,6,15
P5002176,5,15
230800,10,15
SM2309,6,15
V1000292,7,15
903574,7,15
SM0729,6,15
P2000915,9,15
P58496,12,15
P78725,13,15
V51964,7,15
P78724,12,15
SM0754,9,15
P5001016,8,15
P2001630,10,15
SM0744,13,15
P2000856,7,15
104301,13,15
115177,7,15
185110,11,15
P5001016,7,15
115184,13,15
P77179,10,15
115184,9,15
P5001013,11,15
115184,5,15
104326,13,15
115177,13,15
115182,13,15
104471LF,8,15
P57081,7,15
52-460-769-013,6,15
SM0748,6,15
P77119,5,15
185108,11,15
SM0747,6,15
P2000838,8,15
P2000872,7,15
P77109,7,15
P5004640,12,15
P78738,7,15
P81487,6,15
52-118-401-501,12,15
V1000300,6,15
SM0759,5,15
117105LF,6,15
52-116-924-501,5,15
226720,10,15
P5004636,9,15
P2000866,7,15
52-116-926-501,6,15
P2001601,11,15
V51961,13,15
513601,6,15
P81290,13,15
P42546,7,15
230080,7,15
P2004423,12,15
185112,7,15
241160,11,15
P2000890,11,15
P5001024,6,15
P5001023,12,15
P2000890,5,15
P5001021,8,15
P5001021,7,15
V51760,7,15
182205,6,15
V51967,13,15
P5001019,10,15
P2001630,12,15
P2002487,6,15
175079,10,15
210196,6,15
P6010971,6,15
G96817,6,15
P2004630,13,15
P2002390,12,15
P6010973,6,15
V51976,6,15
P2002461,11,15
V51757,7,15
178671,11,15
DT0797,6,15
P2000822,7,15
08-105-687-059,6,15
P2002394,7,15
111061,6,15
P5003603,8,15
P90524,12,15
903584,10,15
P2000676,11,15
DP0692,7,15
P6010238,7,15
52-239-566-001,7,15
P2001146,9,15
111034,13,15
AP0099,6,15
SM0710,7,15
115111,13,15
903587,6,15
903587,12,15
P6010268,12,15
115111,8,15
P5001337,11,15
P70905,7,15
115112,7,15
SM0704,6,15
52-239-567-001,11,15
175001,11,15
SM2262,10,15
P2002591,13,15
P2001146,7,15
P2004636,6,15
P85254,8,15
104312,9,15
P6010365,7,15
52-116-917-523,10,15
52-116-917-523,11,15
P70905,8,15
SM2225,11,15
V51768,6,15
P85299,9,15
P2002398,9,15
117415LF,9,15
233380,6,15
