year_month,item_number,cumulative_lpns
2021-02,115129,11.0
2021-02,115174,1.0
2021-02,115177,2.0
2021-02,115180,0.0
2021-02,115181,1.0
2021-02,115182,1.0
2021-02,115188,7.0
2021-02,185141,1.0
2021-02,210618,1.0
2021-02,210619,2.0
2021-02,216790,1.0
2021-02,231820,1.0
2021-02,245005,1.0
2021-02,245122,1.0
2021-02,245592,1.0
2021-02,246271,1.0
2021-02,52-116-918-501,-2.0
2021-02,52-116-918-521,2.0
2021-02,52-116-920-501,0.0
2021-02,52-116-921-501,-1.0
2021-02,52-116-922-501,7.0
2021-02,52-116-923-501,3.0
2021-02,52-116-926-501,4.0
2021-02,52-118-401-501,11.0
2021-02,52-123-957-501,4.0
2021-02,52-123-957-522,3.0
2021-02,52-128-321-501,13.0
2021-02,52-129-440-501,4.0
2021-02,52-239-344-001,1.0
2021-02,52-261-521-001,1.0
2021-02,52-324-015-084,1.0
2021-02,52-362-387-001,1.0
2021-02,52-460-761-501,2.0
2021-02,52-461-395-001,2.0
2021-02,52-461-475-000,1.0
2021-02,52-461-828-501,1.0
2021-02,555036,1.0
2021-02,555038,2.0
2021-02,555039,2.0
2021-02,555075,0.0
2021-02,760382700,0.0
2021-02,760913430,1.0
2021-02,761200520,0.0
2021-02,761911670,1.0
2021-02,769580920,0.0
2021-02,7C0154150,1.0
2021-02,7C0342530,0.0
2021-02,7C0455130,2.0
2021-02,7C064101A,-1.0
2021-02,7C0851370,2.0
2021-02,7C8051020,0.0
2021-02,A07033,1.0
2021-02,AC0420,0.0
2021-02,AC1859,1.0
2021-02,AC1860,5.0
2021-02,AC1863,4.0
2021-02,AC1864,0.0
2021-02,AC1867,-1.0
2021-02,AC1868,1.0
2021-02,AC1869,-1.0
2021-02,AC1871,-1.0
2021-02,AC2522,1.0
2021-02,AC2532,0.0
2021-02,AC2603,1.0
2021-02,AC6034,1.0
2021-02,AC6113,-3.0
2021-02,AC8345,1.0
2021-02,AC8480,0.0
2021-02,AP0144,1.0
2021-02,DB0113,3.0
2021-02,DP0780,2.0
2021-02,DR0612,-1.0
2021-02,DT0766,1.0
2021-02,DT0769,1.0
2021-02,DT0772,-4.0
2021-02,FJ872A,0.0
2021-02,M28099,5.0
2021-02,M28177,3.0
2021-02,P2000011,1.0
2021-02,P2000034,0.0
2021-02,P2000656,3.0
2021-02,P2000658,3.0
2021-02,P2000676,1.0
2021-02,P2000677,0.0
2021-02,P2000848,3.0
2021-02,P2000852,3.0
2021-02,P2000872,1.0
2021-02,P2000890,-4.0
2021-02,P2001155,4.0
2021-02,P2001337,1.0
2021-02,P2001391,2.0
2021-02,P2001575,1.0
2021-02,P2001576,1.0
2021-02,P2002376,1.0
2021-02,P2002402,1.0
2021-02,P2002404,8.0
