year,quarter,month,item_number,received_qty,shipped_qty,turnover_rate
2021,1,1,P5004266,28.0,2.0,0.07142857142857142
2021,1,1,P5004269,4.0,0.0,0.0
2021,1,1,P5004272,12.0,0.0,0.0
2021,1,1,P5004276,8.0,0.0,0.0
2021,1,1,P5004283,8.0,0.0,0.0
2021,1,1,P5004287,4.0,0.0,0.0
2021,1,1,P5004293,8.0,0.0,0.0
2021,1,1,P5004297,4.0,2.0,0.5
2021,1,1,P58729,6.0,0.0,0.0
2021,1,1,P6010443,10.0,0.0,0.0
2021,1,1,P6010444,3.0,0.0,0.0
2021,1,1,P6010466,7.0,0.0,0.0
2021,1,1,P6010468,3.0,0.0,0.0
2021,1,1,P6010493,2.0,0.0,0.0
2021,1,1,P6010499,3.0,0.0,0.0
2021,1,1,P6010554,6.0,0.0,0.0
2021,1,1,P6010580,1.0,2.0,2.0
2021,1,1,P6010590,3.0,0.0,0.0
2021,1,1,P6010594,2.0,0.0,0.0
2021,1,1,P6010671,4.0,0.0,0.0
2021,1,1,P6014717,40.0,0.0,0.0
2021,1,1,P6015007,1.0,0.0,0.0
2021,1,1,P6015043,1.0,0.0,0.0
2021,1,1,P6015059,3.0,0.0,0.0
2021,1,1,P6015067,2.0,0.0,0.0
2021,1,1,P6015245,1.0,0.0,0.0
2021,1,1,P75149,400.0,0.0,0.0
2021,1,1,P78724,1200.0,0.0,0.0
2021,1,1,P81486,500.0,0.0,0.0
2021,1,1,P81487,100.0,200.0,2.0
2021,1,1,P81488,400.0,0.0,0.0
2021,1,1,P81496,107.0,0.0,0.0
2021,1,1,P82329,30.0,0.0,0.0
2021,1,1,P82331,32.0,0.0,0.0
2021,1,1,P85166,48.0,0.0,0.0
2021,1,1,P85237,48.0,0.0,0.0
2021,1,1,P85238,48.0,96.0,2.0
2021,1,1,P85239,180.0,0.0,0.0
2021,1,1,P85242,36.0,0.0,0.0
2021,1,1,P85243,432.0,0.0,0.0
2021,1,1,P85245,64.0,64.0,1.0
2021,1,1,P85246,72.0,0.0,0.0
2021,1,1,P85248,216.0,108.0,0.5
2021,1,1,P85250,48.0,0.0,0.0
2021,1,1,P85254,48.0,0.0,0.0
2021,1,1,P85255,36.0,72.0,2.0
2021,1,1,P85258,16.0,32.0,2.0
2021,1,1,P85266,70.0,0.0,0.0
2021,1,1,P85267,35.0,0.0,0.0
2021,1,1,P85285,96.0,0.0,0.0
2021,1,1,P85286,150.0,0.0,0.0
2021,1,1,P85287,114.0,0.0,0.0
2021,1,1,P85288,42.0,0.0,0.0
2021,1,1,P85289,60.0,0.0,0.0
2021,1,1,P85290,54.0,0.0,0.0
2021,1,1,P85291,84.0,0.0,0.0
2021,1,1,P85298,72.0,0.0,0.0
2021,1,1,P85299,4.0,0.0,0.0
2021,1,1,SM2717,8.0,0.0,0.0
2021,1,1,V1000292,180.0,0.0,0.0
2021,1,1,V1000296,240.0,0.0,0.0
2021,1,1,V1000936,10.0,0.0,0.0
2021,1,1,V1000938,14.0,0.0,0.0
2021,1,1,V1000945,14.0,0.0,0.0
2021,1,1,V1000956,6.0,0.0,0.0
2021,1,1,V1000965,4.0,10.0,2.5
2021,1,1,V1000977,50.0,0.0,0.0
2021,1,1,V1000981,30.0,0.0,0.0
2021,1,1,V1000990,50.0,0.0,0.0
2021,1,1,V1001001,10.0,0.0,0.0
