item_number,transaction_date_received,Quantity_received,period,transaction_date_shipped,Quantity_shipped,ship_receive_ratio,previous_ratio
104463LF,2023-03-31 00:00:00,2.0,2023Q1,2023-03-31 00:00:00,6.0,3.0,0.2222222222222222
104463LF,2023-09-30 00:00:00,4.0,2023Q3,0,0.0,0.0,3.0
104465LF,2021-03-31 00:00:00,15.0,2021Q1,2021-03-31 00:00:00,3.0,0.2,
104465LF,2021-06-30 00:00:00,22.0,2021Q2,2021-06-30 00:00:00,18.0,0.8181818181818182,0.2
104465LF,2021-09-30 00:00:00,12.0,2021Q3,2021-09-30 00:00:00,61.0,5.083333333333333,0.8181818181818182
104465LF,2021-12-31 00:00:00,21.0,2021Q4,2021-12-31 00:00:00,29.0,1.380952380952381,5.083333333333333
104465LF,2022-03-31 00:00:00,27.0,2022Q1,2022-03-31 00:00:00,21.0,0.7777777777777778,1.380952380952381
104465LF,2022-09-30 00:00:00,30.0,2022Q3,2022-09-30 00:00:00,15.0,0.5,0.7777777777777778
104465LF,2022-12-31 00:00:00,41.0,2022Q4,2022-12-31 00:00:00,30.0,0.7317073170731707,0.5
104465LF,2023-03-31 00:00:00,26.0,2023Q1,2023-03-31 00:00:00,29.0,1.1153846153846154,0.7317073170731707
104465LF,2023-06-30 00:00:00,12.0,2023Q2,2023-06-30 00:00:00,24.0,2.0,1.1153846153846154
104465LF,2023-09-30 00:00:00,32.0,2023Q3,2023-09-30 00:00:00,34.0,1.0625,2.0
104468LF,2021-06-30 00:00:00,4.0,2021Q2,2021-06-30 00:00:00,3.0,0.75,
104468LF,2021-09-30 00:00:00,3.0,2021Q3,2021-09-30 00:00:00,16.0,5.333333333333333,0.75
104468LF,2021-12-31 00:00:00,2.0,2021Q4,2021-12-31 00:00:00,4.0,2.0,5.333333333333333
104468LF,2022-03-31 00:00:00,9.0,2022Q1,2022-03-31 00:00:00,6.0,0.6666666666666666,2.0
104468LF,2022-06-30 00:00:00,19.0,2022Q2,2022-06-30 00:00:00,7.0,0.3684210526315789,0.6666666666666666
