item_number,total_overstock_net,latest_inventory,reduction_percentage
P6010154,-2.0,-2.0,100.0
P6010165,-4.0,22.0,-18.181818181818183
P6010166,-50.0,18.0,-277.77777777777777
P6010183,-10.0,0.0,-inf
P6010198,-7.0,13.0,-53.84615384615385
P6010199,-14.0,11.0,-127.27272727272727
P6010200,-36.0,-6.0,600.0
P6010204,-147.0,-44.0,334.09090909090907
P6010220,-200.0,200.0,-100.0
P6010221,-50.0,-7.0,714.2857142857143
P6010237,2.0,-62.0,-3.225806451612903
P6010238,-51.0,90.0,-56.666666666666664
P6010241,282.0,45.0,626.6666666666666
P6010251,-452.0,51.0,-886.2745098039217
P6010253,-895.0,101.0,-886.1386138613861
P6010261,-62.0,-3.0,2066.666666666667
P6010262,-50.0,7.0,-714.2857142857143
P6010267,-29.0,162.0,-17.901234567901234
P6010268,-112.0,834.0,-13.42925659472422
P6010269,0.0,251.0,0.0
P6010340,-4.0,10.0,-40.0
P6010361,31.0,138.0,22.463768115942027
P6010362,-10.0,190.0,-5.263157894736842
P6010363,-12.0,109.0,-11.009174311926607
P6010365,-88.0,310.0,-28.387096774193548
P6010369,53.0,361.0,14.681440443213297
P6010371,6.0,-18.0,-33.33333333333333
P6010372,-6.0,38.0,-15.789473684210526
P6010376,-20.0,18.0,-111.11111111111111
P6010378,-36.0,0.0,-inf
P6010379,-18.0,6.0,-300.0
P6010415,-102.0,-2.0,5100.0
P6010416,-42.0,-8.0,525.0
P6010443,-29.0,-29.0,100.0
P6010444,-9.0,0.0,-inf
P6010448,-7.0,-7.0,100.0
P6010466,-2.0,7.0,-28.57142857142857
P6010467,1.0,7.0,14.285714285714285
P6010468,-6.0,-26.0,23.076923076923077
P6010493,-4.0,-8.0,50.0
P6010499,-11.0,1.0,-1100.0
P6010512,0.0,0.0,
P6010514,0.0,-9.0,-0.0
P6010520,-6.0,1.0,-600.0
P6010536,-4.0,2.0,-200.0
P6010542,-3.0,0.0,-inf
P6010544,-2.0,0.0,-inf
P6010548,-7.0,-4.0,175.0
P6010577,-1.0,0.0,-inf
P6010583,-4.0,-1.0,400.0
P6010584,-16.0,4.0,-400.0
P6010585,-19.0,-27.0,70.37037037037037
P6010587,0.0,0.0,
P6010588,-1.0,0.0,-inf
P6010591,-2.0,0.0,-inf
P6010594,-13.0,-1.0,1300.0
P6010606,0.0,4.0,0.0
P6010607,-6.0,0.0,-inf
P6010609,-6.0,0.0,-inf
P6010617,-5.0,0.0,-inf
P6010635,-8.0,6.0,-133.33333333333331
P6010637,-5.0,-2.0,250.0
P6010648,-1.0,0.0,-inf
P6010659,-3.0,0.0,-inf
P6010660,9.0,3.0,300.0
P6010662,-4.0,-1.0,400.0
P6010667,-2.0,3.0,-66.66666666666666
P6010671,-5.0,-7.0,71.42857142857143
P6010695,-20.0,0.0,-inf
P6010697,-20.0,0.0,-inf
P6010703,-6.0,5.0,-120.0
P6010787,-4.0,20.0,-20.0
P6010882,12.0,87.0,13.793103448275861
P6010889,-32.0,250.0,-12.8
P6010895,50.0,-66.0,-75.75757575757575
P6010897,-100.0,36.0,-277.77777777777777
P6010906,0.0,162.0,0.0
P6010929,-8.0,13.0,-61.53846153846154
P6010971,-120.0,216.0,-55.55555555555556
P6010973,-60.0,434.0,-13.82488479262673
P6010978,-24.0,0.0,-inf
P6010979,-20.0,0.0,-inf
P6010980,-17.0,109.0,-15.59633027522936
P6010983,-63.0,-22.0,286.3636363636364
P6010984,-386.0,-86.0,448.83720930232556
P6010985,-306.0,119.0,-257.14285714285717
P6010990,-166.0,-16.0,1037.5
P6010999,-70.0,1.0,-7000.0
P6011000,-15.0,-1.0,1500.0
P6011002,-12.0,44.0,-27.27272727272727
P6011003,-50.0,0.0,-inf
P6011004,-21.0,-6.0,350.0
P6011005,-40.0,73.0,-54.794520547945204
P6011006,-48.0,55.0,-87.27272727272727
P6011007,-50.0,8.0,-625.0
P6011008,-50.0,16.0,-312.5
P6011009,-53.0,0.0,-inf
P6011010,-51.0,-4.0,1275.0
P6011015,-3.0,40.0,-7.5
P6011019,14.0,68.0,20.588235294117645
P6011020,0.0,18.0,0.0
P6011023,-8.0,6.0,-133.33333333333331
P6011029,-4.0,10.0,-40.0
P6011053,0.0,25.0,0.0
P6011065,-10.0,1.0,-1000.0
P6011069,-4.0,0.0,-inf
P6011144,-12.0,14.0,-85.71428571428571
P6011196,-48.0,2.0,-2400.0
P6011197,-50.0,2.0,-2500.0
P6011200,-50.0,-1.0,5000.0
P6011201,-44.0,5.0,-880.0000000000001
P6011204,-50.0,2.0,-2500.0
P6011205,-50.0,2.0,-2500.0
P6011208,-16.0,50.0,-32.0
P6011219,-12.0,-2.0,600.0
P6011236,-60.0,4.0,-1500.0
P6011240,-4.0,0.0,-inf
P6011242,-4.0,0.0,-inf
P6011311,-2.0,1.0,-200.0
P6011312,1.0,3.0,33.33333333333333
P6011342,-4.0,50.0,-8.0
P6011343,-50.0,6.0,-833.3333333333334
P6011344,-50.0,6.0,-833.3333333333334
P6011345,-6.0,50.0,-12.0
P6011361,0.0,0.0,
P6011412,-2.0,16.0,-12.5
P6011418,-2.0,4.0,-50.0
P6011453,-1.0,4.0,-25.0
P6011478,-2.0,7.0,-28.57142857142857
P6011548,-1.0,35.0,-2.857142857142857
P6011553,-1.0,8.0,-12.5
P6011568,2.0,64.0,3.125
P6011598,-1.0,13.0,-7.6923076923076925
P6011605,-3.0,9.0,-33.33333333333333
P6011612,-17.0,11.0,-154.54545454545453
P6011617,20.0,12.0,166.66666666666669
P6011623,-25.0,6.0,-416.6666666666667
P6011624,2.0,2.0,100.0
P6011630,4.0,14.0,28.57142857142857
P6011631,-12.0,0.0,-inf
P6011638,0.0,1.0,0.0
P6011639,-9.0,0.0,-inf
P6011640,-1.0,1.0,-100.0
P6011646,-3.0,0.0,-inf
P6011648,-12.0,0.0,-inf
P6011653,-1.0,0.0,-inf
P6011654,0.0,1.0,0.0
P6011800,-7.0,0.0,-inf
P6011912,-8.0,4.0,-200.0
P6011923,-2.0,0.0,-inf
P6012464,-6.0,3.0,-200.0
P6012511,-5.0,1.0,-500.0
P6012547,-43.0,0.0,-inf
P6012565,-8.0,70.0,-11.428571428571429
P6012566,-1.0,5.0,-20.0
P6012592,-11.0,34.0,-32.35294117647059
P6012639,-8.0,37.0,-21.62162162162162
P6012643,-1.0,-6.0,16.666666666666664
P6012695,-2.0,3.0,-66.66666666666666
P6012703,2.0,3.0,66.66666666666666
P6012732,-4.0,8.0,-50.0
P6012736,2.0,15.0,13.333333333333334
P6012740,-11.0,11.0,-100.0
P6012741,0.0,11.0,0.0
P6012744,-1.0,34.0,-2.941176470588235
P6012749,8.0,18.0,44.44444444444444
P6012878,-46.0,0.0,-inf
P6012988,-4.0,9.0,-44.44444444444444
P6013006,-3.0,4.0,-75.0
P6013015,-14.0,34.0,-41.17647058823529
P6013024,7.0,6.0,116.66666666666667
P6013034,-4.0,0.0,-inf
P6013043,-2.0,2.0,-100.0
P6013096,-3.0,14.0,-21.428571428571427
P6013124,-2.0,3.0,-66.66666666666666
P6013132,-50.0,-8.0,625.0
P6013133,-40.0,3.0,-1333.3333333333335
P6013134,-4.0,49.0,-8.16326530612245
P6013135,-36.0,-5.0,720.0
P6013138,78.0,89.0,87.64044943820225
P6013139,-21.0,86.0,-24.418604651162788
P6013142,-19.0,80.0,-23.75
P6013143,-18.0,-12.0,150.0
P6013144,-2.0,0.0,-inf
P6013145,-42.0,-7.0,600.0
P6013147,-37.0,3.0,-1233.3333333333335
P6013149,-18.0,6.0,-300.0
P6013185,0.0,0.0,
P6013346,-52.0,0.0,-inf
