item_number,total_overstock_net,latest_inventory,reduction_percentage
P85250,146.0,328.0,44.51219512195122
P85254,175.0,217.0,80.64516129032258
P85255,-92.0,86.0,-106.9767441860465
P85258,-28.0,36.0,-77.77777777777779
P85265,-1.0,0.0,-inf
P85266,-110.0,78.0,-141.02564102564102
P85267,60.0,34.0,176.47058823529412
P85268,55.0,135.0,40.74074074074074
P85285,1020.0,1176.0,86.73469387755102
P85286,2990.0,2932.0,101.97817189631651
P85287,3008.0,2972.0,101.2113055181696
P85288,1041.0,837.0,124.37275985663084
P85289,638.0,1136.0,56.16197183098591
P85290,1281.0,1403.0,91.30434782608695
P85291,666.0,882.0,75.51020408163265
P85298,654.0,678.0,96.46017699115043
P85299,-37.0,37.0,-100.0
P85304,116.0,405.0,28.641975308641975
P85311,-3.0,62.0,-4.838709677419355
P85693,-1.0,54.0,-1.8518518518518516
P86236,5.0,-12.0,-41.66666666666667
P90351,20.0,10.0,200.0
P90523,984.0,5640.0,17.4468085106383
P90524,1386.0,1764.0,78.57142857142857
P90527,-467.0,-179.0,260.89385474860336
P90528,960.0,1815.0,52.892561983471076
P90532,115.0,258.0,44.57364341085272
P90573,-1.0,2.0,-50.0
R02940,-53.0,-48.0,110.41666666666667
R18270,-7.0,-232.0,3.0172413793103448
R18410,-44.0,-23.0,191.30434782608697
SM0002,4.0,4.0,100.0
SM0005,-1.0,-5.0,20.0
SM0009,-1.0,1.0,-100.0
SM0011,3.0,0.0,inf
SM0031,-2.0,0.0,-inf
SM0151,-8.0,22.0,-36.36363636363637
SM0152,-2.0,2.0,-100.0
SM0154,-2.0,-4.0,50.0
SM0158,-3.0,1.0,-300.0
SM0181,-1.0,0.0,-inf
SM0184,-1.0,2.0,-50.0
SM0268,-2.0,4.0,-50.0
SM0710,6.0,-35.0,-17.142857142857142
SM0715,-1.0,1.0,-100.0
SM0728,-1.0,-5.0,20.0
SM0729,2.0,-17.0,-11.76470588235294
SM0731,-2.0,-3.0,66.66666666666666
SM0733,-2.0,3.0,-66.66666666666666
SM0734,-2.0,1.0,-200.0
SM0739,14.0,7.0,200.0
SM0740,10.0,1.0,1000.0
SM0741,11.0,-11.0,-100.0
SM0744,10.0,-18.0,-55.55555555555556
SM0748,3.0,-1.0,-300.0
SM0749,0.0,2.0,0.0
SM0751,-1.0,2.0,-50.0
SM0752,6.0,2.0,300.0
SM0753,7.0,2.0,350.0
SM0754,4.0,-15.0,-26.666666666666668
SM0755,8.0,-6.0,-133.33333333333331
SM0756,19.0,-11.0,-172.72727272727272
SM0759,8.0,-7.0,-114.28571428571428
SM0762,1.0,4.0,25.0
SM1248,3.0,3.0,100.0
SM1816,-3.0,4.0,-75.0
SM2062,-25.0,12.0,-208.33333333333334
SM2081,-35.0,45.0,-77.77777777777779
SM2083,-14.0,72.0,-19.444444444444446
SM2093,88.0,160.0,55.00000000000001
SM2097,-72.0,148.0,-48.64864864864865
SM2105,-21.0,52.0,-40.38461538461539
SM2106,-60.0,168.0,-35.714285714285715
SM2107,57.0,-24.0,-237.5
SM2108,-19.0,78.0,-24.358974358974358
SM2110,-26.0,1.0,-2600.0
SM2111,-1.0,8.0,-12.5
SM2112,-4.0,42.0,-9.523809523809524
SM2114,1.0,5.0,20.0
SM2119,-2.0,5.0,-40.0
SM2120,-3.0,2.0,-150.0
SM2202,8.0,-6.0,-133.33333333333331
SM2205,0.0,-6.0,-0.0
SM2211,5.0,-14.0,-35.714285714285715
SM2212,-2.0,4.0,-50.0
SM2219,3.0,-11.0,-27.27272727272727
SM2220,-1.0,3.0,-33.33333333333333
SM2225,1.0,-2.0,-50.0
SM2226,-1.0,3.0,-33.33333333333333
SM2232,5.0,0.0,inf
SM2238,10.0,-1.0,-1000.0
SM2240,0.0,3.0,0.0
SM2244,3.0,-15.0,-20.0
SM2246,-1.0,2.0,-50.0
SM2247,1.0,-23.0,-4.3478260869565215
SM2248,5.0,0.0,inf
SM2250,23.0,-29.0,-79.3103448275862
SM2259,3.0,-6.0,-50.0
SM2261,-3.0,4.0,-75.0
SM2262,11.0,-23.0,-47.82608695652174
SM2265,9.0,-4.0,-225.0
SM2267,-2.0,-14.0,14.285714285714285
SM2269,14.0,-9.0,-155.55555555555557
SM2273,0.0,3.0,0.0
SM2276,-1.0,-5.0,20.0
SM2309,-17.0,42.0,-40.476190476190474
SM2717,10.0,35.0,28.57142857142857
V01321,-5800.0,7000.0,-82.85714285714286
V1000014,-24.0,224.0,-10.714285714285714
V1000030,-24.0,24.0,-100.0
V1000288,1148.0,737.0,155.76662143826323
V1000290,1831.0,2348.0,77.98126064735945
V1000292,5558.0,8153.0,68.17122531583466
V1000294,1665.0,3847.0,43.28047829477515
V1000296,3544.0,3981.0,89.02285857824667
V1000298,283.0,2078.0,13.618864292589027
V1000914,-28.0,52.0,-53.84615384615385
V1000921,43.0,57.0,75.43859649122807
V1000929,-3.0,11.0,-27.27272727272727
V1000938,-29.0,41.0,-70.73170731707317
V1000941,-100.0,40.0,-250.0
V1000945,-25.0,-3.0,833.3333333333334
V1000947,-1.0,3.0,-33.33333333333333
V1000956,-12.0,10.0,-120.0
V1000974,5.0,10.0,50.0
V1000977,-25.0,-33.0,75.75757575757575
V1000981,-60.0,36.0,-166.66666666666669
V1000983,-3.0,74.0,-4.054054054054054
V1000986,-51.0,46.0,-110.86956521739131
V1000990,-30.0,47.0,-63.829787234042556
V1000992,10.0,10.0,100.0
V1000995,6.0,-16.0,-37.5
V1001001,-17.0,-9.0,188.88888888888889
V1001002,6.0,2.0,300.0
V1001005,8.0,-22.0,-36.36363636363637
V1001010,-15.0,20.0,-75.0
V1001019,-27.0,9.0,-300.0
V1001049,0.0,0.0,
V1001053,-33.0,44.0,-75.0
V1001055,-7.0,-7.0,100.0
V1001064,-27.0,24.0,-112.5
V1001067,0.0,-7.0,-0.0
V1001071,-28.0,14.0,-200.0
V1001085,-8.0,12.0,-66.66666666666666
V1001089,-1.0,1.0,-100.0
V1001098,-15.0,11.0,-136.36363636363635
V1001183,5.0,-2.0,-250.0
V1001188,-4.0,-7.0,57.14285714285714
V1001198,5.0,-19.0,-26.31578947368421
V1001203,-2.0,-21.0,9.523809523809524
V1001222,0.0,-1.0,-0.0
V1002166,-8.0,-4.0,200.0
V1003634,-100.0,200.0,-50.0
V50813,-12.0,-154.0,7.792207792207792
V50816,-6.0,-18.0,33.33333333333333
V50833,69.0,-585.0,-11.794871794871794
V50835,105.0,-344.0,-30.523255813953487
V50836,180.0,-144.0,-125.0
V50839,10.0,-12.0,-83.33333333333334
V50924,118.0,5536.0,2.1315028901734103
V50925,317.0,-356.0,-89.04494382022472
V50926,252.0,-84.0,-300.0
V50927,-345.0,-198.0,174.24242424242425
V50928,202.0,142.0,142.25352112676057
V50939,89.0,-100.0,-89.0
V51673,150.0,4400.0,3.4090909090909087
V51757,-27.0,-1269.0,2.127659574468085
V51758,158.0,-189.0,-83.5978835978836
V51759,378.0,-97.0,-389.69072164948454
V51760,426.0,-211.0,-201.8957345971564
V51761,-353.0,215.0,-164.18604651162792
V51766,198.0,146.0,135.6164383561644
V51767,-235.0,360.0,-65.27777777777779
V51768,-20.0,-44.0,45.45454545454545
V51802,-6.0,20.0,-30.0
V51967,244.0,-303.0,-80.52805280528052
V51970,20.0,68.0,29.411764705882355
V51973,10.0,37.0,27.027027027027028
V51982,-2.0,7.0,-28.57142857142857
V59171,17.0,-447.0,-3.803131991051454
V59173,466.0,-337.0,-138.27893175074183
Y93570,-1.0,2.0,-50.0
