item_number,transaction_date_received,Quantity_received,period,transaction_date_shipped,Quantity_shipped,ship_receive_ratio,previous_ratio
104304,2021-12-31 00:00:00,8.0,2021,2021-12-31 00:00:00,62.0,7.75,
104304,2022-12-31 00:00:00,19.0,2022,2022-12-31 00:00:00,7.0,0.3684210526315789,7.75
104304,2023-12-31 00:00:00,22.0,2023,2023-12-31 00:00:00,31.0,1.4090909090909092,0.3684210526315789
104306,2021-12-31 00:00:00,425.0,2021,2021-12-31 00:00:00,608.0,1.4305882352941177,
104306,2022-12-31 00:00:00,827.0,2022,2022-12-31 00:00:00,535.0,0.6469165659008465,1.4305882352941177
104306,2023-12-31 00:00:00,216.0,2023,2023-12-31 00:00:00,483.0,2.236111111111111,0.6469165659008465
104308,2021-12-31 00:00:00,331.0,2021,2021-12-31 00:00:00,601.0,1.8157099697885197,
104308,2022-12-31 00:00:00,506.0,2022,2022-12-31 00:00:00,389.0,0.7687747035573123,1.8157099697885197
104308,2023-12-31 00:00:00,228.0,2023,2023-12-31 00:00:00,243.0,1.0657894736842106,0.7687747035573123
104309,2021-12-31 00:00:00,390.0,2021,2021-12-31 00:00:00,782.0,2.005128205128205,
104309,2022-12-31 00:00:00,712.0,2022,2022-12-31 00:00:00,538.0,0.7556179775280899,2.005128205128205
104309,2023-12-31 00:00:00,320.0,2023,2023-12-31 00:00:00,324.0,1.0125,0.7556179775280899
104310,2021-12-31 00:00:00,199.0,2021,2021-12-31 00:00:00,302.0,1.5175879396984924,
104310,2022-12-31 00:00:00,363.0,2022,2022-12-31 00:00:00,318.0,0.8760330578512396,1.5175879396984924
104310,2023-12-31 00:00:00,180.0,2023,2023-12-31 00:00:00,212.0,1.1777777777777778,0.8760330578512396
104312,2021-12-31 00:00:00,139.0,2021,2021-12-31 00:00:00,257.0,1.8489208633093526,
104312,2022-12-31 00:00:00,294.0,2022,2022-12-31 00:00:00,207.0,0.7040816326530612,1.8489208633093526
104312,2023-12-31 00:00:00,225.0,2023,2023-12-31 00:00:00,97.0,0.4311111111111111,0.7040816326530612
104313,2021-12-31 00:00:00,48.0,2021,2021-12-31 00:00:00,41.0,0.8541666666666666,
104313,2022-12-31 00:00:00,92.0,2022,2022-12-31 00:00:00,46.0,0.5,0.8541666666666666
104313,2023-12-31 00:00:00,14.0,2023,2023-12-31 00:00:00,54.0,3.857142857142857,0.5
104315,2021-12-31 00:00:00,232.0,2021,2021-12-31 00:00:00,327.0,1.4094827586206897,
104315,2022-12-31 00:00:00,474.0,2022,2022-12-31 00:00:00,306.0,0.6455696202531646,1.4094827586206897
104315,2023-12-31 00:00:00,192.0,2023,2023-12-31 00:00:00,175.0,0.9114583333333334,0.6455696202531646
104318,2021-12-31 00:00:00,265.0,2021,2021-12-31 00:00:00,396.0,1.4943396226415093,
104318,2022-12-31 00:00:00,381.0,2022,2022-12-31 00:00:00,255.0,0.6692913385826772,1.4943396226415093
104318,2023-12-31 00:00:00,104.0,2023,2023-12-31 00:00:00,212.0,2.0384615384615383,0.6692913385826772
