year,item_number,Quantity_shipped,average_inventory,turnover_rate
2021,112099,5.0,66.0,0.07575757575757576
2021,112100,107.0,-50.13636363636363,-2.1341795104261108
2021,112118,39.0,54.666666666666664,0.7134146341463415
2021,112119,86.0,-43.0,-2.0
2021,115072,4.0,-2.0,-2.0
2021,115074,14.0,-7.0,-2.0
2021,115104,2002.0,12.916666666666666,154.99354838709678
2021,115111,1444.0,-49.666666666666664,-29.073825503355707
2021,115112,633.0,50.791666666666664,12.46267432321575
2021,115113,425.0,-18.5625,-22.895622895622896
2021,115114,311.0,-9.277777777777779,-33.52095808383233
2021,115115,180.0,3.0,60.0
2021,115116,756.0,-57.27272727272727,-13.2
2021,115117,289.0,-31.35,-9.218500797448165
2021,115118,1101.0,22.65,48.60927152317881
2021,115119,1252.0,-116.5,-10.746781115879829
2021,115120,857.0,-32.708333333333336,-26.201273885350318
2021,115121,1157.0,106.375,10.876615746180963
2021,115122,562.0,-64.25,-8.747081712062256
2021,115123,2048.0,-236.5,-8.659619450317125
2021,115124,350.0,-26.666666666666668,-13.125
2021,115125,615.0,-3.6818181818181817,-167.03703703703704
2021,115126,886.0,-114.81818181818181,-7.716547901821062
2021,115127,539.0,-23.681818181818183,-22.76007677543186
2021,115128,280.0,33.583333333333336,8.337468982630272
2021,115129,96.0,14.083333333333334,6.816568047337277
2021,115170,97.0,-14.5,-6.689655172413793
2021,115171,0.0,36.0,0.0
2021,115172,69.0,7.5,9.2
2021,115174,72.0,29.0,2.4827586206896552
2021,115175,22.0,15.2,1.4473684210526316
2021,115176,51.0,-6.3125,-8.07920792079208
2021,115177,453.0,-19.041666666666668,-23.789934354485776
2021,115178,99.0,-7.071428571428571,-14.0
2021,115179,567.0,-2.15,-263.72093023255815
2021,115180,148.0,16.6,8.915662650602409
2021,115181,70.0,-0.5555555555555556,-126.0
2021,115182,521.0,-31.35,-16.618819776714513
2021,115183,62.0,-18.0,-3.4444444444444446
2021,115184,467.0,-21.40909090909091,-21.81316348195329
2021,115185,135.0,-32.59090909090909,-4.142259414225941
2021,115186,226.0,11.3,20.0
2021,115187,194.0,-20.7,-9.371980676328503
2021,115188,170.0,19.4,8.762886597938145
2021,115189,96.0,5.4,17.777777777777775
2021,117410,0.0,1.0,0.0
2021,169035,165.0,75.4,2.1883289124668432
2021,169038,33.0,82.5,0.4
2021,169043,0.0,16.5,0.0
2021,169053,0.0,16.5,0.0
2021,175001,36.0,-1.6428571428571428,-21.91304347826087
2021,175004,40.0,6.625,6.037735849056604
2021,175006,89.0,-14.1,-6.3120567375886525
2021,175008,1.0,1.6666666666666667,0.6
2021,175011,40.0,10.666666666666666,3.75
2021,175012,5.0,2.7,1.8518518518518516
2021,175014,117.0,-18.214285714285715,-6.423529411764705
2021,175015,30.0,-1.25,-24.0
2021,175017,10.0,22.0,0.45454545454545453
2021,175019,2.0,18.375,0.10884353741496598
2021,175020,5.0,1.3333333333333333,3.75
2021,175022,25.0,3.0,8.333333333333334
2021,175025,27.0,-1.5,-18.0
2021,175027,10.0,-0.5,-20.0
2021,175029,6.0,0.5,12.0
2021,175033,4.0,1.5,2.6666666666666665
2021,175036,4.0,0.6666666666666666,6.0
2021,175049,29.0,-6.083333333333333,-4.767123287671233
2021,175053,8.0,2.2,3.6363636363636362
2021,175056,6.0,0.625,9.6
2021,175065,0.0,1.0,0.0
2021,175066,0.0,0.5,0.0
2021,175071,1.0,1.25,0.8
2021,175072,2.0,-1.0,-2.0
2021,175078,2.0,2.6666666666666665,0.75
2021,175079,167.0,-21.214285714285715,-7.872053872053872
2021,175080,110.0,-8.916666666666666,-12.336448598130842
2021,175819,2.0,1.0,2.0
2021,175824,24.0,4.0,6.0
2021,175825,24.0,-3.0,-8.0
2021,175826,0.0,8.0,0.0
2021,175827,47.0,-2.0714285714285716,-22.68965517241379
2021,175828,30.0,-2.7857142857142856,-10.76923076923077
2021,175829,50.0,-13.6,-3.6764705882352944
2021,175830,12.0,5.0,2.4
2021,175831,0.0,3.0,0.0
2021,175832,22.0,0.75,29.333333333333332
2021,175833,0.0,4.0,0.0
2021,175834,8.0,0.8333333333333334,9.6
2021,175835,2.0,0.6666666666666666,3.0
2021,175836,16.0,-2.25,-7.111111111111111
2021,175838,0.0,1.5,0.0
2021,175839,0.0,1.75,0.0
2021,175845,15.0,1.25,12.0
2021,175846,11.0,0.25,44.0
2021,175847,23.0,-4.75,-4.842105263157895
2021,175848,6.0,0.75,8.0
2021,175849,23.0,-1.5,-15.333333333333334
2021,175850,6.0,0.3333333333333333,18.0
2021,175853,0.0,1.0,0.0
2021,175854,27.0,-3.6,-7.5
2021,175855,38.0,-4.642857142857143,-8.184615384615384
2021,175856,14.0,-1.3,-10.769230769230768
2021,175857,7.0,-0.75,-9.333333333333334
2021,175858,6.0,0.875,6.857142857142857
2021,175859,14.0,-2.0833333333333335,-6.72
2021,175861,9.0,2.0,4.5
2021,175862,3.0,3.0,1.0
2021,175863,69.0,-0.2,-345.0
2021,175904,11.0,-1.875,-5.866666666666666
2021,175909,1.0,0.5,2.0
2021,175910,5.0,1.125,4.444444444444445
2021,178368,0.0,0.5,0.0
2021,178440,0.0,1.0,0.0
2021,178442,6.0,0.875,6.857142857142857
2021,178443,11.0,-0.9,-12.222222222222221
2021,178446,3.0,0.375,8.0
2021,178458,0.0,1.0,0.0
2021,178466,37.0,-2.4,-15.416666666666668
2021,178473,65.0,0.42857142857142855,151.66666666666669
2021,178476,16.0,-1.5,-10.666666666666666
2021,178487,22.0,-0.9285714285714286,-23.69230769230769
2021,178490,20.0,1.7142857142857142,11.666666666666668
2021,178505,2.0,3.25,0.6153846153846154
2021,178508,60.0,-7.214285714285714,-8.316831683168317
2021,178515,5.0,3.75,1.3333333333333333
2021,178518,48.0,-1.0,-48.0
2021,178519,0.0,0.5,0.0
2021,178580,12.0,0.0,inf
2021,178635,11.0,1.0,11.0
2021,178637,2.0,-1.0,-2.0
2021,178641,73.0,-6.071428571428571,-12.023529411764706
2021,178642,16.0,-1.2,-13.333333333333334
2021,178645,3.0,2.5,1.2
2021,178651,10.0,-0.16666666666666666,-60.0
2021,178656,76.0,-11.2,-6.7857142857142865
2021,178657,3.0,1.6666666666666667,1.7999999999999998
2021,178661,0.0,0.5,0.0
2021,178662,12.0,-0.8333333333333334,-14.399999999999999
2021,178671,128.0,-14.928571428571429,-8.574162679425838
2021,178672,21.0,0.5,42.0
2021,178690,78.0,-4.25,-18.352941176470587
2021,178691,18.0,-4.6,-3.91304347826087
2021,178707,50.0,-3.1666666666666665,-15.789473684210527
2021,178718,4.0,-0.625,-6.4
2021,178733,4.0,2.0,2.0
2021,178769,1.0,-0.5,-2.0
2021,178773,16.0,-0.5833333333333334,-27.428571428571427
2021,178792,0.0,0.5,0.0
2021,178804,2.0,-1.0,-2.0
2021,178810,2.0,-1.0,-2.0
2021,178817,25.0,-2.0,-12.5
2021,178882,1.0,0.5,2.0
2021,178885,2.0,0.0,inf
2021,179182,2.0,1.0,2.0
2021,179249,0.0,1.0,0.0
2021,179255,0.0,0.5,0.0
2021,179258,2.0,-0.5,-4.0
2021,179269,2.0,0.5,4.0
2021,179271,19.0,0.08333333333333333,228.0
2021,179280,16.0,-4.5,-3.5555555555555554
2021,179282,9.0,2.75,3.272727272727273
2021,179316,2.0,1.0,2.0
2021,179319,2.0,-1.0,-2.0
2021,179323,0.0,2.0,0.0
2021,179324,3.0,-1.5,-2.0
2021,179345,8.0,0.8333333333333334,9.6
2021,179352,1.0,0.5,2.0
2021,179354,1.0,2.0,0.5
